	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
51	0.24695	0.07003	0.00534	0.16011	0.67985	0.01020	0.19826	0.05673	0.00933	0.14276	0.63276	0.01692	0.20834	0.04306	0.01582	0.14296	0.63885	0.02559	0.02413	-0.00711	0.02177	0.07432	0.44933	0.02719
52	0.24704	0.07027	0.00544	0.15980	0.67986	0.01005	0.19835	0.05698	0.00943	0.14253	0.63276	0.01693	0.20840	0.04329	0.01594	0.14272	0.63885	0.02561	0.02418	-0.00684	0.02132	0.07447	0.44918	0.02708
53	0.24691	0.07059	0.00529	0.15953	0.67974	0.00963	0.19826	0.05726	0.00962	0.14233	0.63268	0.01692	0.20831	0.04357	0.01612	0.14248	0.63879	0.02559	0.02409	-0.00666	0.02101	0.07456	0.44900	0.02716
54	0.24671	0.07077	0.00497	0.15931	0.67952	0.00920	0.19810	0.05743	0.00976	0.14214	0.63253	0.01698	0.20816	0.04372	0.01623	0.14225	0.63865	0.02563	0.02396	-0.00658	0.02100	0.07452	0.44880	0.02743
55	0.24656	0.07077	0.00479	0.15917	0.67927	0.00900	0.19796	0.05742	0.00964	0.14198	0.63230	0.01685	0.20803	0.04370	0.01606	0.14208	0.63845	0.02549	0.02385	-0.00661	0.02121	0.07431	0.44861	0.02773
56	0.24651	0.07068	0.00495	0.15915	0.67918	0.00909	0.19787	0.05731	0.00928	0.14189	0.63213	0.01632	0.20797	0.04359	0.01567	0.14201	0.63831	0.02493	0.02381	-0.00678	0.02140	0.07394	0.44860	0.02798
57	0.24652	0.07064	0.00533	0.15935	0.67936	0.00933	0.19784	0.05723	0.00903	0.14199	0.63223	0.01568	0.20796	0.04352	0.01540	0.14215	0.63844	0.02428	0.02385	-0.00700	0.02142	0.07360	0.44892	0.02816
58	0.24659	0.07070	0.00556	0.15987	0.67974	0.00947	0.19791	0.05726	0.00915	0.14239	0.63261	0.01550	0.20803	0.04355	0.01551	0.14257	0.63883	0.02409	0.02395	-0.00708	0.02127	0.07350	0.44950	0.02821
59	0.24671	0.07090	0.00538	0.16055	0.68009	0.00940	0.19807	0.05744	0.00955	0.14295	0.63307	0.01602	0.20818	0.04371	0.01591	0.14313	0.63927	0.02462	0.02409	-0.00694	0.02106	0.07367	0.45007	0.02805
60	0.24678	0.07121	0.00489	0.16097	0.68023	0.00920	0.19824	0.05774	0.00996	0.14333	0.63340	0.01691	0.20832	0.04400	0.01632	0.14350	0.63955	0.02555	0.02422	-0.00667	0.02090	0.07395	0.45036	0.02783
