	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FinishedUpperN1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
213	5.63893	-42.96070	495.41351	-9.32366	42.23320	221.30647
214	5.64894	-43.00001	495.58069	-9.32226	42.36715	221.74696
215	5.65929	-43.03994	495.75012	-9.32089	42.49971	222.18523
216	5.66996	-43.08049	495.92184	-9.31954	42.63083	222.62125
217	5.68097	-43.12167	496.09589	-9.31821	42.76048	223.05495
218	5.69231	-43.16350	496.27222	-9.31690	42.88860	223.48637
219	5.70398	-43.20598	496.45090	-9.31560	43.01518	223.91542
220	5.71597	-43.24911	496.63184	-9.31430	43.14019	224.34212
221	5.72829	-43.29290	496.81503	-9.31301	43.26359	224.76637
222	5.74093	-43.33735	497.00052	-9.31171	43.38537	225.18817
223	5.75389	-43.38247	497.18823	-9.31040	43.50549	225.60744
224	5.76716	-43.42827	497.37820	-9.30909	43.62392	226.02419
225	5.78075	-43.47475	497.57040	-9.30775	43.74065	226.43829
226	5.79466	-43.52191	497.76483	-9.30639	43.85563	226.84981
227	5.80887	-43.56976	497.96143	-9.30501	43.96885	227.25862
228	5.82340	-43.61831	498.16022	-9.30359	44.08028	227.66472
229	5.83822	-43.66754	498.36108	-9.30215	44.18993	228.06804
230	5.85335	-43.71746	498.56406	-9.30069	44.29776	228.46848
231	5.86877	-43.76807	498.76904	-9.29919	44.40376	228.86600
232	5.88449	-43.81936	498.97601	-9.29767	44.50792	229.26059
233	5.90050	-43.87134	499.18488	-9.29612	44.61023	229.65215
234	5.91680	-43.92400	499.39560	-9.29454	44.71067	230.04063
235	5.93338	-43.97735	499.60822	-9.29293	44.80922	230.42596
236	5.95024	-44.03138	499.82260	-9.29130	44.90587	230.80811
237	5.96738	-44.08607	500.03867	-9.28963	45.00062	231.18695
238	5.98477	-44.14143	500.25635	-9.28792	45.09347	231.56250
239	6.00242	-44.19741	500.47556	-9.28618	45.18441	231.93460
240	6.02030	-44.25403	500.69614	-9.28440	45.27344	232.30322
241	6.03841	-44.31126	500.91806	-9.28257	45.36057	232.66829
242	6.05673	-44.36909	501.14124	-9.28069	45.44578	233.02971
243	6.07527	-44.42749	501.36554	-9.27876	45.52908	233.38742
244	6.09399	-44.48646	501.59091	-9.27678	45.61047	233.74136
245	6.11290	-44.54599	501.81720	-9.27474	45.68994	234.09145
246	6.13198	-44.60603	502.04437	-9.27264	45.76751	234.43762
247	6.15120	-44.66658	502.27219	-9.27049	45.84321	234.77980
248	6.17055	-44.72759	502.50058	-9.26827	45.91703	235.11798
249	6.19000	-44.78904	502.72946	-9.26599	45.98901	235.45204
250	6.20955	-44.85089	502.95868	-9.26365	46.05915	235.78195
251	6.22916	-44.91313	503.18805	-9.26124	46.12749	236.10765
252	6.24882	-44.97572	503.41748	-9.25876	46.19402	236.42908
253	6.26851	-45.03863	503.64685	-9.25622	46.25877	236.74619
254	6.28821	-45.10183	503.87607	-9.25361	46.32175	237.05888
255	6.30789	-45.16529	504.10492	-9.25094	46.38300	237.36716
256	6.32754	-45.22896	504.33331	-9.24821	46.44252	237.67093
257	6.34713	-45.29282	504.56116	-9.24543	46.50035	237.97017
258	6.36663	-45.35683	504.78824	-9.24260	46.55652	238.26483
259	6.38603	-45.42094	505.01450	-9.23973	46.61105	238.55484
260	6.40529	-45.48514	505.23981	-9.23683	46.66396	238.84018
261	6.42439	-45.54937	505.46390	-9.23390	46.71527	239.12080
262	6.44331	-45.61361	505.68683	-9.23095	46.76502	239.39662
263	6.46203	-45.67780	505.90833	-9.22798	46.81323	239.66763
264	6.48052	-45.74192	506.12839	-9.22500	46.85992	239.93378
265	6.49874	-45.80593	506.34677	-9.22201	46.90514	240.19505
266	6.51669	-45.86976	506.56339	-9.21903	46.94891	240.45143
267	6.53431	-45.93340	506.77811	-9.21605	46.99125	240.70284
268	6.55160	-45.99679	506.99088	-9.21309	47.03221	240.94930
269	6.56852	-46.05989	507.20154	-9.21015	47.07182	241.19075
270	6.58504	-46.12267	507.40994	-9.20724	47.11010	241.42719
271	6.60114	-46.18506	507.61597	-9.20436	47.14709	241.65857
272	6.61679	-46.24705	507.81949	-9.20152	47.18282	241.88489
273	6.63197	-46.30857	508.02045	-9.19872	47.21731	242.10611
274	6.64666	-46.36962	508.21872	-9.19596	47.25062	242.32231
275	6.66085	-46.43013	508.41428	-9.19326	47.28276	242.53345
276	6.67450	-46.49007	508.60696	-9.19061	47.31378	242.73955
277	6.68760	-46.54941	508.79675	-9.18801	47.34370	242.94063
278	6.70012	-46.60811	508.98346	-9.18547	47.37256	243.13669
279	6.71206	-46.66613	509.16705	-9.18300	47.40040	243.32776
280	6.72339	-46.72343	509.34747	-9.18059	47.42724	243.51385
281	6.73408	-46.77997	509.52463	-9.17825	47.45312	243.69498
282	6.74413	-46.83572	509.69839	-9.17598	47.47807	243.87114
283	6.75352	-46.89066	509.86884	-9.17378	47.50211	244.04242
284	6.76225	-46.94474	510.03580	-9.17165	47.52527	244.20880
285	6.77029	-46.99794	510.19928	-9.16960	47.54757	244.37033
286	6.77764	-47.05021	510.35922	-9.16762	47.56904	244.52704
287	6.78428	-47.10153	510.51566	-9.16572	47.58971	244.67899
288	6.79020	-47.15187	510.66846	-9.16389	47.60960	244.82616
289	6.79539	-47.20119	510.81757	-9.16214	47.62875	244.96861
290	6.79984	-47.24946	510.96298	-9.16047	47.64716	245.10638
291	6.80354	-47.29666	511.10468	-9.15889	47.66487	245.23950
292	6.80650	-47.34275	511.24261	-9.15739	47.68189	245.36803
293	6.80869	-47.38771	511.37683	-9.15597	47.69825	245.49202
294	6.81013	-47.43152	511.50729	-9.15466	47.71395	245.61156
295	6.81081	-47.47413	511.63400	-9.15343	47.72903	245.72665
296	6.81073	-47.51553	511.75693	-9.15231	47.74350	245.83736
297	6.80987	-47.55569	511.87604	-9.15129	47.75737	245.94373
298	6.80825	-47.59458	511.99136	-9.15038	47.77068	246.04582
299	6.80585	-47.63218	512.10291	-9.14957	47.78342	246.14372
300	6.80268	-47.66846	512.21057	-9.14888	47.79564	246.23744
301	6.79875	-47.70343	512.31458	-9.14831	47.80732	246.32712
302	6.79406	-47.73708	512.41486	-9.14785	47.81849	246.41280
303	6.78863	-47.76939	512.51141	-9.14752	47.82915	246.49457
304	6.78245	-47.80035	512.60425	-9.14731	47.83934	246.57254
305	6.77554	-47.82994	512.69348	-9.14723	47.84904	246.64671
306	6.76790	-47.85817	512.77911	-9.14728	47.85828	246.71724
307	6.75954	-47.88503	512.86115	-9.14747	47.86708	246.78415
