	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
186	0.01015	0.20283	0.01157	-0.04155	0.49343	0.01122
187	0.01004	0.20284	0.01173	-0.04157	0.49336	0.01131
188	0.00998	0.20281	0.01186	-0.04158	0.49335	0.01133
189	0.00995	0.20274	0.01194	-0.04159	0.49341	0.01130
190	0.00993	0.20265	0.01199	-0.04163	0.49350	0.01127
191	0.00991	0.20255	0.01205	-0.04169	0.49360	0.01128
192	0.00988	0.20249	0.01212	-0.04175	0.49368	0.01133
193	0.00983	0.20249	0.01222	-0.04177	0.49373	0.01136
194	0.00978	0.20255	0.01231	-0.04173	0.49374	0.01135
195	0.00976	0.20264	0.01238	-0.04164	0.49374	0.01127
196	0.00978	0.20274	0.01239	-0.04155	0.49374	0.01117
197	0.00983	0.20280	0.01235	-0.04151	0.49374	0.01109
198	0.00990	0.20283	0.01228	-0.04154	0.49376	0.01107
199	0.00995	0.20283	0.01218	-0.04163	0.49377	0.01113
200	0.00995	0.20282	0.01207	-0.04176	0.49376	0.01126
201	0.00993	0.20281	0.01196	-0.04191	0.49373	0.01143
202	0.00988	0.20284	0.01188	-0.04206	0.49369	0.01159
203	0.00985	0.20293	0.01183	-0.04216	0.49368	0.01170
204	0.00985	0.20307	0.01181	-0.04220	0.49369	0.01173
205	0.00986	0.20324	0.01185	-0.04218	0.49371	0.01168
206	0.00987	0.20338	0.01196	-0.04214	0.49370	0.01159
207	0.00984	0.20346	0.01211	-0.04213	0.49367	0.01151
208	0.00980	0.20348	0.01226	-0.04218	0.49361	0.01145
209	0.00977	0.20346	0.01234	-0.04228	0.49359	0.01140
210	0.00977	0.20344	0.01234	-0.04240	0.49361	0.01136
211	0.00980	0.20343	0.01228	-0.04251	0.49369	0.01134
212	0.00983	0.20343	0.01222	-0.04261	0.49380	0.01137
213	0.00985	0.20339	0.01223	-0.04271	0.49389	0.01148
214	0.00981	0.20333	0.01235	-0.04283	0.49396	0.01171
215	0.00972	0.20326	0.01257	-0.04292	0.49402	0.01202
216	0.00958	0.20324	0.01285	-0.04295	0.49410	0.01235
217	0.00939	0.20329	0.01313	-0.04289	0.49423	0.01266
218	0.00919	0.20339	0.01336	-0.04278	0.49440	0.01288
219	0.00901	0.20347	0.01350	-0.04265	0.49459	0.01298
220	0.00886	0.20350	0.01355	-0.04254	0.49476	0.01297
