	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
25	0.34773	0.24834	0.00434	0.00452	0.63368	0.00387	0.31777	0.20671	0.00910	0.00997	0.58373	0.01525	0.35170	0.19324	0.01522	-0.01699	0.58913	0.02103	0.23495	0.03178	0.02379	0.00481	0.39135	0.05800
26	0.34782	0.24834	0.00430	0.00563	0.63398	0.00365	0.31784	0.20672	0.00909	0.01054	0.58417	0.01586	0.35176	0.19323	0.01520	-0.01635	0.58993	0.02163	0.23492	0.03184	0.02374	0.00333	0.39237	0.06087
27	0.34779	0.24844	0.00426	0.00679	0.63459	0.00356	0.31785	0.20683	0.00936	0.01112	0.58503	0.01691	0.35179	0.19332	0.01537	-0.01565	0.59118	0.02282	0.23498	0.03189	0.02361	0.00176	0.39369	0.06347
28	0.34765	0.24857	0.00422	0.00786	0.63515	0.00320	0.31781	0.20696	0.00991	0.01169	0.58601	0.01817	0.35175	0.19345	0.01589	-0.01497	0.59248	0.02422	0.23505	0.03191	0.02345	0.00059	0.39503	0.06580
29	0.34750	0.24858	0.00421	0.00869	0.63535	0.00256	0.31776	0.20696	0.01032	0.01220	0.58669	0.01911	0.35169	0.19351	0.01650	-0.01443	0.59335	0.02509	0.23521	0.03178	0.02337	0.00001	0.39615	0.06821
30	0.34746	0.24848	0.00428	0.00914	0.63517	0.00192	0.31776	0.20682	0.01030	0.01246	0.58686	0.01951	0.35166	0.19347	0.01682	-0.01420	0.59364	0.02522	0.23548	0.03151	0.02334	-0.00030	0.39701	0.07107
31	0.34755	0.24833	0.00434	0.00925	0.63474	0.00147	0.31784	0.20663	0.01005	0.01242	0.58673	0.01987	0.35172	0.19334	0.01680	-0.01428	0.59360	0.02527	0.23571	0.03125	0.02316	-0.00080	0.39772	0.07433
32	0.34766	0.24819	0.00434	0.00931	0.63429	0.00125	0.31794	0.20650	0.00997	0.01222	0.58673	0.02084	0.35181	0.19317	0.01669	-0.01447	0.59377	0.02610	0.23571	0.03114	0.02277	-0.00190	0.39843	0.07748
33	0.34766	0.24815	0.00430	0.00953	0.63408	0.00122	0.31793	0.20649	0.01020	0.01203	0.58713	0.02228	0.35182	0.19308	0.01668	-0.01455	0.59448	0.02767	0.23551	0.03117	0.02230	-0.00363	0.39931	0.08012
34	0.34745	0.24826	0.00430	0.00987	0.63430	0.00138	0.31778	0.20660	0.01049	0.01193	0.58777	0.02338	0.35170	0.19313	0.01668	-0.01450	0.59548	0.02898	0.23534	0.03126	0.02195	-0.00562	0.40046	0.08234
35	0.34713	0.24850	0.00442	0.01014	0.63488	0.00168	0.31754	0.20678	0.01059	0.01184	0.58833	0.02368	0.35151	0.19333	0.01652	-0.01448	0.59637	0.02933	0.23537	0.03130	0.02186	-0.00737	0.40177	0.08445
