	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
216	0.21750	-0.05155	0.03930	0.08049	0.40762	0.00849
217	0.21712	-0.05168	0.03817	0.08082	0.40778	0.00807
218	0.21662	-0.05154	0.03705	0.08107	0.40793	0.00766
219	0.21636	-0.05138	0.03587	0.08108	0.40803	0.00750
220	0.21643	-0.05142	0.03468	0.08095	0.40809	0.00750
221	0.21654	-0.05162	0.03358	0.08089	0.40810	0.00743
222	0.21632	-0.05182	0.03268	0.08096	0.40799	0.00728
223	0.21569	-0.05185	0.03194	0.08110	0.40779	0.00727
224	0.21490	-0.05164	0.03111	0.08123	0.40757	0.00746
225	0.21430	-0.05141	0.03004	0.08138	0.40739	0.00770
226	0.21408	-0.05151	0.02889	0.08155	0.40724	0.00781
227	0.21420	-0.05202	0.02783	0.08165	0.40712	0.00785
228	0.21436	-0.05257	0.02693	0.08158	0.40700	0.00792
229	0.21417	-0.05272	0.02612	0.08127	0.40690	0.00811
230	0.21356	-0.05240	0.02537	0.08080	0.40682	0.00842
231	0.21291	-0.05190	0.02466	0.08049	0.40686	0.00874
232	0.21265	-0.05152	0.02397	0.08059	0.40709	0.00893
233	0.21287	-0.05139	0.02332	0.08106	0.40743	0.00891
234	0.21326	-0.05147	0.02273	0.08172	0.40769	0.00878
235	0.21336	-0.05163	0.02227	0.08234	0.40776	0.00872
236	0.21295	-0.05180	0.02196	0.08261	0.40774	0.00894
237	0.21231	-0.05200	0.02171	0.08239	0.40775	0.00955
238	0.21192	-0.05228	0.02136	0.08199	0.40779	0.01043
239	0.21197	-0.05257	0.02086	0.08179	0.40786	0.01130
240	0.21221	-0.05279	0.02030	0.08179	0.40787	0.01192
241	0.21240	-0.05294	0.01976	0.08175	0.40783	0.01226
242	0.21251	-0.05299	0.01929	0.08153	0.40784	0.01249
243	0.21259	-0.05290	0.01892	0.08120	0.40802	0.01289
244	0.21263	-0.05273	0.01874	0.08093	0.40836	0.01361
245	0.21264	-0.05265	0.01873	0.08088	0.40867	0.01465
246	0.21266	-0.05274	0.01868	0.08114	0.40880	0.01590
247	0.21269	-0.05289	0.01839	0.08156	0.40871	0.01720
248	0.21272	-0.05296	0.01795	0.08186	0.40844	0.01845
249	0.21275	-0.05298	0.01766	0.08192	0.40805	0.01973
250	0.21280	-0.05307	0.01764	0.08169	0.40765	0.02125
251	0.21281	-0.05323	0.01774	0.08123	0.40737	0.02295
252	0.21269	-0.05337	0.01780	0.08071	0.40721	0.02452
253	0.21251	-0.05340	0.01785	0.08027	0.40707	0.02564
254	0.21247	-0.05337	0.01794	0.08002	0.40685	0.02634
255	0.21264	-0.05336	0.01798	0.08007	0.40650	0.02682
256	0.21289	-0.05337	0.01792	0.08037	0.40606	0.02711
257	0.21304	-0.05334	0.01785	0.08063	0.40569	0.02697
258	0.21310	-0.05325	0.01789	0.08069	0.40547	0.02618
259	0.21320	-0.05314	0.01793	0.08075	0.40530	0.02489
260	0.21334	-0.05313	0.01785	0.08113	0.40484	0.02369
261	0.21341	-0.05328	0.01766	0.08197	0.40386	0.02304
262	0.21335	-0.05350	0.01744	0.08318	0.40243	0.02279
263	0.21324	-0.05357	0.01724	0.08460	0.40079	0.02250
264	0.21316	-0.05340	0.01705	0.08600	0.39917	0.02193
265	0.21316	-0.05312	0.01686	0.08736	0.39782	0.02114
266	0.21319	-0.05294	0.01669	0.08887	0.39700	0.02034
267	0.21324	-0.05295	0.01654	0.09065	0.39681	0.01968
268	0.21329	-0.05305	0.01639	0.09251	0.39713	0.01919
269	0.21340	-0.05311	0.01627	0.09410	0.39767	0.01879
270	0.21358	-0.05313	0.01619	0.09535	0.39817	0.01841
271	0.21375	-0.05318	0.01612	0.09643	0.39852	0.01810
272	0.21384	-0.05328	0.01598	0.09746	0.39869	0.01800
273	0.21385	-0.05334	0.01571	0.09860	0.39869	0.01817
274	0.21383	-0.05331	0.01540	0.09985	0.39860	0.01850
275	0.21381	-0.05326	0.01523	0.10093	0.39850	0.01893
276	0.21385	-0.05330	0.01534	0.10153	0.39846	0.01956
277	0.21397	-0.05347	0.01563	0.10170	0.39848	0.02050
278	0.21411	-0.05371	0.01588	0.10178	0.39853	0.02171
279	0.21404	-0.05390	0.01598	0.10189	0.39862	0.02305
280	0.21366	-0.05399	0.01594	0.10188	0.39872	0.02447
281	0.21320	-0.05392	0.01580	0.10155	0.39875	0.02606
282	0.21301	-0.05375	0.01560	0.10093	0.39873	0.02792
283	0.21319	-0.05363	0.01548	0.10024	0.39874	0.03009
284	0.21355	-0.05369	0.01555	0.09987	0.39883	0.03255
285	0.21383	-0.05393	0.01574	0.09980	0.39888	0.03528
286	0.21385	-0.05421	0.01587	0.09954	0.39870	0.03820
287	0.21360	-0.05443	0.01587	0.09874	0.39826	0.04120
288	0.21330	-0.05472	0.01595	0.09765	0.39779	0.04435
289	0.21322	-0.05518	0.01628	0.09685	0.39756	0.04775
290	0.21340	-0.05565	0.01670	0.09656	0.39776	0.05120
291	0.21376	-0.05588	0.01690	0.09647	0.39846	0.05431
292	0.21411	-0.05587	0.01678	0.09625	0.39962	0.05685
293	0.21427	-0.05585	0.01654	0.09581	0.40131	0.05881
294	0.21414	-0.05595	0.01641	0.09537	0.40372	0.06024
295	0.21380	-0.05612	0.01643	0.09527	0.40698	0.06125
296	0.21351	-0.05619	0.01645	0.09568	0.41103	0.06189
297	0.21350	-0.05613	0.01649	0.09635	0.41570	0.06225
298	0.21369	-0.05598	0.01666	0.09689	0.42077	0.06236
299	0.21388	-0.05586	0.01696	0.09716	0.42605	0.06228
300	0.21391	-0.05588	0.01723	0.09735	0.43143	0.06204
301	0.21380	-0.05603	0.01740	0.09768	0.43695	0.06165
302	0.21361	-0.05616	0.01753	0.09821	0.44274	0.06108
303	0.21340	-0.05618	0.01775	0.09896	0.44883	0.06027
304	0.21323	-0.05619	0.01811	0.09996	0.45509	0.05927
305	0.21314	-0.05631	0.01859	0.10124	0.46128	0.05822
306	0.21313	-0.05651	0.01914	0.10277	0.46721	0.05723
307	0.21315	-0.05664	0.01972	0.10440	0.47288	0.05629
308	0.21319	-0.05658	0.02030	0.10601	0.47838	0.05534
309	0.21327	-0.05642	0.02074	0.10761	0.48366	0.05434
310	0.21338	-0.05633	0.02100	0.10932	0.48855	0.05325
311	0.21343	-0.05640	0.02114	0.11115	0.49298	0.05203
312	0.21338	-0.05653	0.02129	0.11296	0.49706	0.05065
313	0.21328	-0.05658	0.02148	0.11458	0.50095	0.04921
314	0.21315	-0.05646	0.02174	0.11589	0.50466	0.04775
315	0.21296	-0.05614	0.02214	0.11693	0.50799	0.04621
316	0.21270	-0.05567	0.02265	0.11782	0.51071	0.04450
317	0.21244	-0.05514	0.02312	0.11868	0.51270	0.04266
318	0.21235	-0.05473	0.02344	0.11949	0.51397	0.04082
319	0.21256	-0.05451	0.02363	0.12013	0.51465	0.03902
320	0.21307	-0.05445	0.02383	0.12056	0.51493	0.03718
321	0.21378	-0.05451	0.02415	0.12098	0.51492	0.03527
322	0.21459	-0.05468	0.02468	0.12159	0.51466	0.03341
323	0.21555	-0.05491	0.02547	0.12242	0.51425	0.03167
324	0.21665	-0.05506	0.02661	0.12334	0.51393	0.03002
325	0.21772	-0.05500	0.02825	0.12427	0.51394	0.02837
326	0.21859	-0.05475	0.03062	0.12519	0.51430	0.02659
327	0.21922	-0.05442	0.03390	0.12617	0.51493	0.02465
328	0.21967	-0.05403	0.03817	0.12729	0.51564	0.02273
329	0.22016	-0.05341	0.04365	0.12848	0.51622	0.02115
330	0.22094	-0.05229	0.05066	0.12940	0.51659	0.02010
331	0.22206	-0.05029	0.05959	0.12976	0.51690	0.01948
332	0.22323	-0.04688	0.07064	0.12958	0.51738	0.01904
333	0.22410	-0.04163	0.08376	0.12917	0.51810	0.01854
334	0.22483	-0.03432	0.09881	0.12880	0.51883	0.01784
335	0.22600	-0.02488	0.11570	0.12861	0.51936	0.01696
336	0.22808	-0.01308	0.13414	0.12863	0.51966	0.01601
337	0.23103	0.00139	0.15359	0.12886	0.51990	0.01513
338	0.23465	0.01860	0.17371	0.12914	0.52018	0.01445
339	0.23858	0.03823	0.19455	0.12924	0.52044	0.01411
340	0.24220	0.05979	0.21616	0.12914	0.52054	0.01419
341	0.24464	0.08306	0.23821	0.12903	0.52048	0.01453
342	0.24511	0.10827	0.26008	0.12903	0.52040	0.01476
343	0.24352	0.13570	0.28130	0.12899	0.52039	0.01473
344	0.24078	0.16507	0.30171	0.12868	0.52038	0.01460
345	0.23817	0.19557	0.32138	0.12816	0.52025	0.01472
346	0.23636	0.22632	0.34046	0.12761	0.51993	0.01529
347	0.23502	0.25693	0.35902	0.12703	0.51953	0.01609
348	0.23358	0.28733	0.37698	0.12643	0.51921	0.01667
349	0.23192	0.31757	0.39423	0.12591	0.51901	0.01673
350	0.23037	0.34785	0.41063	0.12571	0.51884	0.01641
351	0.22954	0.37854	0.42618	0.12596	0.51868	0.01607
352	0.23003	0.40992	0.44125	0.12642	0.51854	0.01588
353	0.23185	0.44183	0.45627	0.12682	0.51845	0.01583
354	0.23434	0.47370	0.47112	0.12719	0.51843	0.01573
355	0.23666	0.50491	0.48512	0.12771	0.51849	0.01536
356	0.23826	0.53524	0.49766	0.12818	0.51854	0.01457
357	0.23896	0.56520	0.50844	0.12832	0.51853	0.01358
358	0.23886	0.59581	0.51748	0.12822	0.51849	0.01285
359	0.23834	0.62807	0.52521	0.12825	0.51842	0.01266
360	0.23767	0.66285	0.53251	0.12859	0.51828	0.01293
361	0.23692	0.70049	0.54076	0.12907	0.51811	0.01345
362	0.23620	0.74006	0.55138	0.12946	0.51810	0.01416
363	0.23547	0.78013	0.56473	0.12976	0.51835	0.01501
364	0.23433	0.82002	0.57989	0.13026	0.51874	0.01580
365	0.23212	0.86034	0.59578	0.13117	0.51903	0.01633
366	0.22850	0.90202	0.61218	0.13234	0.51920	0.01647
367	0.22366	0.94525	0.62976	0.13334	0.51940	0.01626
368	0.21810	0.98927	0.64945	0.13390	0.51977	0.01595
369	0.21225	1.03314	0.67154	0.13417	0.52017	0.01576
370	0.20623	1.07662	0.69576	0.13437	0.52045	0.01583
371	0.19992	1.12005	0.72196	0.13455	0.52069	0.01611
372	0.19305	1.16384	0.75012	0.13472	0.52110	0.01651
373	0.18539	1.20840	0.78001	0.13503	0.52171	0.01689
374	0.17683	1.25408	0.81142	0.13548	0.52236	0.01719
