	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E2_finished_final\finishedTeepE2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
182	4.41246	-46.36545	177.56764	-20.01137	18.21966	656.84998
183	4.38230	-46.19993	177.05232	-20.04264	18.14531	657.29401
184	4.35189	-46.03106	176.53023	-20.07349	18.07147	657.74402
185	4.32118	-45.85888	176.00143	-20.10389	17.99813	658.20026
186	4.29017	-45.68343	175.46594	-20.13383	17.92527	658.66260
187	4.25882	-45.50474	174.92377	-20.16332	17.85288	659.13135
188	4.22712	-45.32284	174.37494	-20.19233	17.78094	659.60632
189	4.19504	-45.13779	173.81950	-20.22086	17.70943	660.08765
190	4.16254	-44.94960	173.25749	-20.24889	17.63834	660.57538
191	4.12962	-44.75834	172.68892	-20.27641	17.56765	661.06964
192	4.09625	-44.56406	172.11389	-20.30343	17.49735	661.57025
193	4.06241	-44.36683	171.53247	-20.32992	17.42741	662.07727
194	4.02809	-44.16676	170.94479	-20.35589	17.35783	662.59058
195	3.99325	-43.96389	170.35095	-20.38134	17.28858	663.11011
196	3.95788	-43.75830	169.75105	-20.40625	17.21965	663.63599
197	3.92196	-43.55009	169.14514	-20.43062	17.15101	664.16803
198	3.88548	-43.33931	168.53336	-20.45445	17.08266	664.70612
199	3.84840	-43.12605	167.91580	-20.47773	17.01458	665.25024
200	3.81072	-42.91039	167.29257	-20.50045	16.94675	665.80048
201	3.77242	-42.69240	166.66376	-20.52262	16.87917	666.35645
202	3.73348	-42.47216	166.02951	-20.54423	16.81182	666.91827
203	3.69388	-42.24977	165.38994	-20.56528	16.74471	667.48572
204	3.65363	-42.02530	164.74516	-20.58576	16.67781	668.05890
205	3.61269	-41.79883	164.09531	-20.60568	16.61114	668.63727
206	3.57106	-41.57045	163.44044	-20.62503	16.54467	669.22107
207	3.52872	-41.34024	162.78075	-20.64382	16.47841	669.81000
208	3.48566	-41.10829	162.11633	-20.66203	16.41235	670.40405
209	3.44186	-40.87467	161.44728	-20.67967	16.34648	671.00305
210	3.39732	-40.63946	160.77377	-20.69674	16.28082	671.60681
211	3.35202	-40.40273	160.09589	-20.71325	16.21538	672.21527
212	3.30594	-40.16456	159.41379	-20.72920	16.15017	672.82819
213	3.25909	-39.92503	158.72758	-20.74459	16.08521	673.44543
214	3.21144	-39.68420	158.03740	-20.75942	16.02052	674.06677
215	3.16299	-39.44215	157.34337	-20.77370	15.95611	674.69220
216	3.11373	-39.19896	156.64565	-20.78744	15.89199	675.32141
217	3.06364	-38.95469	155.94432	-20.80063	15.82818	675.95435
218	3.01271	-38.70944	155.23953	-20.81328	15.76470	676.59076
219	2.96095	-38.46325	154.53145	-20.82540	15.70158	677.23059
220	2.90834	-38.21619	153.82016	-20.83700	15.63886	677.87354
221	2.85488	-37.96833	153.10580	-20.84809	15.57658	678.51953
222	2.80058	-37.71975	152.38853	-20.85868	15.51479	679.16840
223	2.74543	-37.47050	151.66849	-20.86878	15.45352	679.82001
224	2.68943	-37.22064	150.94576	-20.87839	15.39281	680.47412
225	2.63258	-36.97025	150.22052	-20.88754	15.33270	681.13062
226	2.57487	-36.71939	149.49290	-20.89621	15.27324	681.78925
227	2.51630	-36.46812	148.76303	-20.90444	15.21446	682.44995
228	2.45688	-36.21650	148.03101	-20.91222	15.15642	683.11255
229	2.39660	-35.96455	147.29691	-20.91957	15.09919	683.77698
230	2.33547	-35.71236	146.56090	-20.92649	15.04282	684.44299
231	2.27348	-35.45996	145.82303	-20.93298	14.98737	685.11066
232	2.21064	-35.20738	145.08345	-20.93907	14.93291	685.77966
233	2.14695	-34.95469	144.34224	-20.94476	14.87950	686.44995
234	2.08241	-34.70193	143.59949	-20.95005	14.82719	687.12146
235	2.01703	-34.44915	142.85533	-20.95495	14.77604	687.79401
236	1.95079	-34.19639	142.10986	-20.95948	14.72612	688.46753
237	1.88372	-33.94370	141.36313	-20.96364	14.67750	689.14178
238	1.81581	-33.69109	140.61520	-20.96742	14.63024	689.81696
239	1.74708	-33.43861	139.86618	-20.97084	14.58441	690.49274
240	1.67753	-33.18629	139.11612	-20.97389	14.54007	691.16919
241	1.60718	-32.93417	138.36507	-20.97659	14.49730	691.84619
242	1.53602	-32.68226	137.61308	-20.97892	14.45616	692.52368
243	1.46408	-32.43062	136.86024	-20.98090	14.41671	693.20154
244	1.39135	-32.17928	136.10664	-20.98253	14.37904	693.87976
245	1.31784	-31.92825	135.35233	-20.98381	14.34319	694.55823
246	1.24358	-31.67756	134.59727	-20.98474	14.30923	695.23688
247	1.16857	-31.42722	133.84155	-20.98532	14.27722	695.91577
248	1.09285	-31.17725	133.08516	-20.98555	14.24720	696.59479
249	1.01643	-30.92766	132.32811	-20.98542	14.21923	697.27399
250	0.93933	-30.67846	131.57043	-20.98493	14.19337	697.95312
251	0.86156	-30.42966	130.81210	-20.98409	14.16966	698.63245
252	0.78316	-30.18127	130.05319	-20.98288	14.14818	699.31171
253	0.70413	-29.93333	129.29367	-20.98131	14.12896	699.99097
254	0.62449	-29.68582	128.53357	-20.97937	14.11206	700.67010
255	0.54428	-29.43875	127.77286	-20.97705	14.09752	701.34930
256	0.46351	-29.19211	127.01148	-20.97436	14.08538	702.02838
257	0.38222	-28.94589	126.24944	-20.97128	14.07566	702.70734
258	0.30043	-28.70009	125.48668	-20.96781	14.06842	703.38617
259	0.21816	-28.45470	124.72318	-20.96392	14.06368	704.06488
260	0.13544	-28.20970	123.95885	-20.95963	14.06148	704.74353
261	0.05230	-27.96510	123.19374	-20.95492	14.06186	705.42200
262	-0.03123	-27.72089	122.42777	-20.94978	14.06485	706.10028
263	-0.11514	-27.47705	121.66091	-20.94421	14.07048	706.77844
264	-0.19939	-27.23356	120.89310	-20.93818	14.07878	707.45642
265	-0.28394	-26.99039	120.12428	-20.93169	14.08975	708.13422
266	-0.36878	-26.74751	119.35441	-20.92470	14.10341	708.81189
267	-0.45386	-26.50489	118.58342	-20.91721	14.11977	709.48944
268	-0.53915	-26.26250	117.81126	-20.90919	14.13886	710.16675
269	-0.62463	-26.02031	117.03784	-20.90063	14.16067	710.84399
270	-0.71027	-25.77830	116.26316	-20.89151	14.18523	711.52106
271	-0.79602	-25.53643	115.48713	-20.88181	14.21254	712.19800
272	-0.88187	-25.29466	114.70969	-20.87150	14.24263	712.87482
273	-0.96777	-25.05297	113.93080	-20.86057	14.27546	713.55145
274	-1.05369	-24.81130	113.15040	-20.84898	14.31104	714.22803
275	-1.13961	-24.56963	112.36845	-20.83672	14.34933	714.90448
276	-1.22548	-24.32790	111.58490	-20.82373	14.39033	715.58093
277	-1.31127	-24.08608	110.79971	-20.81001	14.43400	716.25720
278	-1.39695	-23.84411	110.01277	-20.79552	14.48034	716.93353
279	-1.48249	-23.60197	109.22410	-20.78024	14.52933	717.60968
280	-1.56784	-23.35961	108.43362	-20.76413	14.58095	718.28589
281	-1.65299	-23.11699	107.64130	-20.74716	14.63518	718.96198
282	-1.73788	-22.87407	106.84709	-20.72931	14.69198	719.63824
283	-1.82249	-22.63082	106.05093	-20.71054	14.75134	720.31445
284	-1.90677	-22.38722	105.25288	-20.69080	14.81322	720.99066
285	-1.99069	-22.14323	104.45280	-20.67008	14.87760	721.66699
286	-2.07421	-21.89882	103.65077	-20.64832	14.94444	722.34338
287	-2.15730	-21.65395	102.84665	-20.62550	15.01371	723.01990
288	-2.23992	-21.40860	102.04049	-20.60158	15.08538	723.69659
