	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutElbowE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
248	0.21138	0.05149	0.01222	-0.02305	0.42281	0.06734
249	0.21162	0.05112	0.01184	-0.02107	0.42168	0.06563
250	0.21194	0.05074	0.01147	-0.01945	0.42086	0.06375
251	0.21224	0.05059	0.01107	-0.01808	0.41999	0.06176
252	0.21253	0.05065	0.01069	-0.01666	0.41863	0.05968
253	0.21288	0.05060	0.01053	-0.01500	0.41663	0.05749
254	0.21328	0.05023	0.01055	-0.01317	0.41422	0.05514
255	0.21366	0.04966	0.01048	-0.01147	0.41184	0.05248
256	0.21385	0.04926	0.01016	-0.01014	0.40991	0.04946
257	0.21370	0.04927	0.00977	-0.00915	0.40861	0.04614
258	0.21327	0.04958	0.00956	-0.00841	0.40790	0.04263
259	0.21291	0.04983	0.00962	-0.00807	0.40755	0.03914
260	0.21289	0.04986	0.00987	-0.00838	0.40726	0.03583
261	0.21316	0.04980	0.01015	-0.00916	0.40681	0.03274
262	0.21351	0.04975	0.01038	-0.00984	0.40616	0.02986
263	0.21385	0.04968	0.01061	-0.01008	0.40551	0.02722
