	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d
17	0.13345	0.48722	1.41763	0.04626	0.56783	0.06789	0.16695	0.12456	0.07105	0.04830	0.58216	0.45675	0.22813	0.25775	0.43217	0.00404	0.41204	0.81082	0.15501	0.30802	0.82095	-0.03729	0.53180	1.34530	0.27314	0.39794	1.34933	-0.08592	0.71240	1.14471	0.40528	0.56397	1.16266	0.07326	0.75843	1.33276	0.31032	0.68908	1.34968
18	0.13304	0.48707	1.41794	0.04621	0.56789	0.06793	0.16682	0.12440	0.07099	0.04813	0.58168	0.45681	0.22781	0.25730	0.43225	0.00395	0.41189	0.81105	0.15490	0.30781	0.82104	-0.03748	0.53160	1.34556	0.27291	0.39732	1.34940	-0.08627	0.71219	1.14502	0.40537	0.56381	1.16335	0.07315	0.75852	1.33279	0.31079	0.68892	1.35056
19	0.13275	0.48696	1.41835	0.04618	0.56785	0.06792	0.16674	0.12424	0.07088	0.04797	0.58141	0.45681	0.22739	0.25686	0.43230	0.00399	0.41166	0.81110	0.15493	0.30757	0.82114	-0.03770	0.53103	1.34586	0.27273	0.39708	1.34934	-0.08633	0.71176	1.14540	0.40551	0.56390	1.16383	0.07325	0.75870	1.33289	0.31102	0.68864	1.35133
20	0.13271	0.48706	1.41862	0.04608	0.56774	0.06789	0.16663	0.12422	0.07079	0.04782	0.58124	0.45679	0.22698	0.25646	0.43240	0.00411	0.41132	0.81102	0.15506	0.30727	0.82134	-0.03784	0.53036	1.34600	0.27277	0.39708	1.34930	-0.08612	0.71152	1.14585	0.40578	0.56421	1.16422	0.07373	0.75896	1.33298	0.31084	0.68828	1.35194
21	0.13287	0.48735	1.41863	0.04595	0.56767	0.06782	0.16644	0.12439	0.07075	0.04772	0.58100	0.45672	0.22668	0.25611	0.43257	0.00422	0.41094	0.81091	0.15521	0.30699	0.82158	-0.03791	0.53014	1.34579	0.27304	0.39702	1.34937	-0.08558	0.71209	1.14621	0.40619	0.56451	1.16472	0.07453	0.75928	1.33318	0.31040	0.68794	1.35244
22	0.13297	0.48763	1.41852	0.04590	0.56767	0.06770	0.16623	0.12462	0.07074	0.04770	0.58066	0.45661	0.22652	0.25583	0.43273	0.00426	0.41072	0.81087	0.15531	0.30688	0.82177	-0.03798	0.53072	1.34509	0.27334	0.39682	1.34961	-0.08452	0.71387	1.14634	0.40666	0.56463	1.16537	0.07549	0.75958	1.33377	0.31011	0.68764	1.35297
23	0.13291	0.48769	1.41848	0.04600	0.56770	0.06759	0.16617	0.12474	0.07073	0.04774	0.58031	0.45652	0.22643	0.25566	0.43283	0.00425	0.41077	0.81096	0.15530	0.30693	0.82185	-0.03802	0.53194	1.34411	0.27344	0.39670	1.34991	-0.08298	0.71652	1.14632	0.40709	0.56455	1.16595	0.07640	0.75972	1.33487	0.31026	0.68728	1.35359
24	0.13290	0.48753	1.41855	0.04622	0.56773	0.06761	0.16631	0.12465	0.07071	0.04781	0.58002	0.45655	0.22635	0.25564	0.43283	0.00424	0.41098	0.81122	0.15521	0.30699	0.82183	-0.03799	0.53312	1.34339	0.27332	0.39675	1.35014	-0.08155	0.71876	1.14627	0.40741	0.56439	1.16631	0.07696	0.75960	1.33608	0.31071	0.68681	1.35421
25	0.13311	0.48733	1.41863	0.04639	0.56771	0.06776	0.16653	0.12442	0.07069	0.04792	0.57982	0.45670	0.22632	0.25574	0.43273	0.00425	0.41110	0.81151	0.15513	0.30695	0.82175	-0.03792	0.53358	1.34336	0.27311	0.39688	1.35026	-0.08098	0.71930	1.14622	0.40760	0.56424	1.16647	0.07698	0.75935	1.33666	0.31113	0.68638	1.35468
26	0.13331	0.48724	1.41866	0.04642	0.56760	0.06794	0.16662	0.12423	0.07067	0.04807	0.57979	0.45688	0.22637	0.25586	0.43260	0.00423	0.41103	0.81165	0.15510	0.30684	0.82164	-0.03790	0.53323	1.34387	0.27292	0.39703	1.35034	-0.08136	0.71818	1.14610	0.40770	0.56415	1.16655	0.07658	0.75921	1.33634	0.31134	0.68615	1.35490
