	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
127	0.14831	0.00146	0.01511	0.10358	0.47679	0.00881
128	0.14815	0.00136	0.01499	0.10385	0.47681	0.00871
129	0.14807	0.00127	0.01495	0.10413	0.47683	0.00857
130	0.14803	0.00122	0.01510	0.10428	0.47691	0.00849
131	0.14800	0.00120	0.01535	0.10428	0.47707	0.00858
132	0.14805	0.00121	0.01549	0.10411	0.47718	0.00885
133	0.14819	0.00129	0.01536	0.10379	0.47714	0.00911
134	0.14831	0.00151	0.01503	0.10343	0.47700	0.00914
135	0.14832	0.00182	0.01468	0.10327	0.47696	0.00892
136	0.14826	0.00203	0.01448	0.10337	0.47708	0.00862
137	0.14821	0.00199	0.01445	0.10354	0.47723	0.00847
138	0.14818	0.00177	0.01453	0.10357	0.47729	0.00854
139	0.14815	0.00158	0.01459	0.10345	0.47732	0.00870
140	0.14814	0.00151	0.01452	0.10328	0.47742	0.00875
141	0.14816	0.00149	0.01437	0.10319	0.47747	0.00866
142	0.14810	0.00146	0.01433	0.10316	0.47733	0.00862
143	0.14784	0.00147	0.01450	0.10315	0.47701	0.00871
144	0.14754	0.00158	0.01473	0.10316	0.47676	0.00887
145	0.14746	0.00172	0.01484	0.10321	0.47677	0.00905
146	0.14771	0.00175	0.01484	0.10326	0.47701	0.00919
147	0.14808	0.00162	0.01485	0.10335	0.47727	0.00926
148	0.14823	0.00139	0.01489	0.10343	0.47739	0.00926
149	0.14808	0.00116	0.01494	0.10339	0.47733	0.00929
150	0.14777	0.00103	0.01498	0.10316	0.47721	0.00940
151	0.14751	0.00106	0.01501	0.10277	0.47717	0.00954
152	0.14742	0.00121	0.01497	0.10255	0.47725	0.00962
153	0.14748	0.00137	0.01479	0.10283	0.47742	0.00954
154	0.14759	0.00146	0.01457	0.10343	0.47758	0.00929
155	0.14761	0.00145	0.01452	0.10386	0.47760	0.00902
156	0.14745	0.00140	0.01467	0.10394	0.47744	0.00897
157	0.14711	0.00141	0.01485	0.10387	0.47718	0.00920
158	0.14678	0.00153	0.01485	0.10379	0.47688	0.00954
159	0.14671	0.00171	0.01469	0.10369	0.47663	0.00979
160	0.14696	0.00182	0.01448	0.10355	0.47647	0.00997
161	0.14740	0.00182	0.01428	0.10349	0.47646	0.01004
162	0.14793	0.00178	0.01412	0.10362	0.47651	0.00998
163	0.14852	0.00181	0.01394	0.10386	0.47650	0.00986
164	0.14909	0.00191	0.01367	0.10405	0.47645	0.00975
165	0.14939	0.00201	0.01328	0.10417	0.47639	0.00965
166	0.14925	0.00203	0.01287	0.10418	0.47628	0.00957
167	0.14879	0.00194	0.01263	0.10396	0.47605	0.00955
168	0.14836	0.00175	0.01267	0.10358	0.47574	0.00963
169	0.14816	0.00152	0.01289	0.10334	0.47552	0.00968
170	0.14820	0.00130	0.01303	0.10352	0.47549	0.00955
171	0.14842	0.00107	0.01297	0.10396	0.47554	0.00936
172	0.14881	0.00080	0.01281	0.10435	0.47556	0.00931
173	0.14925	0.00049	0.01273	0.10456	0.47552	0.00943
174	0.14954	0.00028	0.01283	0.10460	0.47552	0.00952
175	0.14948	0.00035	0.01300	0.10443	0.47560	0.00935
176	0.14918	0.00066	0.01306	0.10413	0.47581	0.00895
177	0.14893	0.00097	0.01296	0.10387	0.47610	0.00857
178	0.14889	0.00109	0.01281	0.10369	0.47637	0.00845
179	0.14909	0.00099	0.01280	0.10352	0.47648	0.00859
180	0.14939	0.00087	0.01298	0.10344	0.47646	0.00884
181	0.14963	0.00089	0.01319	0.10361	0.47650	0.00901
182	0.14970	0.00110	0.01322	0.10389	0.47668	0.00909
183	0.14967	0.00138	0.01311	0.10399	0.47689	0.00918
184	0.14964	0.00154	0.01307	0.10382	0.47695	0.00932
185	0.14960	0.00150	0.01324	0.10363	0.47678	0.00949
186	0.14953	0.00135	0.01349	0.10379	0.47658	0.00962
187	0.14946	0.00123	0.01363	0.10435	0.47653	0.00969
188	0.14932	0.00121	0.01364	0.10493	0.47669	0.00974
