	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
60	0.28104	0.14547	0.00777	0.15805	0.70522	0.00833	0.23258	0.14205	0.01233	0.14465	0.65838	0.01103	0.23815	0.13729	0.01897	0.15435	0.66153	0.02102	0.05237	0.12413	0.02363	0.10265	0.47668	0.01662
61	0.28129	0.14541	0.00785	0.15819	0.70544	0.00839	0.23284	0.14196	0.01244	0.14474	0.65861	0.01118	0.23840	0.13723	0.01911	0.15446	0.66174	0.02115	0.05262	0.12387	0.02325	0.10258	0.47695	0.01660
62	0.28130	0.14528	0.00793	0.15825	0.70546	0.00848	0.23284	0.14182	0.01242	0.14477	0.65864	0.01110	0.23839	0.13711	0.01911	0.15455	0.66174	0.02103	0.05261	0.12372	0.02304	0.10241	0.47701	0.01644
63	0.28117	0.14518	0.00786	0.15815	0.70524	0.00848	0.23271	0.14173	0.01241	0.14466	0.65842	0.01102	0.23826	0.13701	0.01909	0.15450	0.66149	0.02089	0.05248	0.12366	0.02304	0.10222	0.47681	0.01618
64	0.28111	0.14523	0.00766	0.15791	0.70495	0.00841	0.23268	0.14177	0.01255	0.14443	0.65814	0.01124	0.23823	0.13701	0.01921	0.15432	0.66117	0.02107	0.05245	0.12366	0.02315	0.10207	0.47650	0.01587
65	0.28120	0.14537	0.00748	0.15761	0.70479	0.00833	0.23281	0.14188	0.01271	0.14417	0.65800	0.01162	0.23836	0.13709	0.01934	0.15408	0.66100	0.02145	0.05258	0.12376	0.02325	0.10203	0.47629	0.01567
66	0.28134	0.14547	0.00742	0.15739	0.70479	0.00828	0.23295	0.14199	0.01265	0.14399	0.65800	0.01175	0.23851	0.13717	0.01926	0.15388	0.66101	0.02158	0.05272	0.12389	0.02329	0.10204	0.47624	0.01572
67	0.28143	0.14551	0.00742	0.15735	0.70486	0.00825	0.23302	0.14203	0.01237	0.14396	0.65806	0.01155	0.23858	0.13720	0.01897	0.15385	0.66109	0.02138	0.05280	0.12395	0.02326	0.10203	0.47631	0.01588
68	0.28145	0.14557	0.00740	0.15748	0.70492	0.00824	0.23302	0.14206	0.01219	0.14407	0.65810	0.01137	0.23859	0.13722	0.01876	0.15401	0.66113	0.02116	0.05281	0.12393	0.02316	0.10200	0.47639	0.01587
69	0.28143	0.14561	0.00740	0.15763	0.70492	0.00824	0.23301	0.14209	0.01223	0.14421	0.65812	0.01147	0.23857	0.13722	0.01880	0.15420	0.66111	0.02122	0.05279	0.12391	0.02303	0.10208	0.47641	0.01565
70	0.28141	0.14556	0.00748	0.15766	0.70491	0.00824	0.23298	0.14206	0.01236	0.14429	0.65812	0.01176	0.23854	0.13718	0.01893	0.15430	0.66109	0.02150	0.05275	0.12398	0.02293	0.10235	0.47636	0.01539
71	0.28140	0.14543	0.00759	0.15774	0.70491	0.00822	0.23297	0.14199	0.01239	0.14440	0.65812	0.01203	0.23851	0.13712	0.01897	0.15439	0.66109	0.02179	0.05271	0.12410	0.02288	0.10265	0.47631	0.01530
72	0.28149	0.14531	0.00764	0.15817	0.70488	0.00825	0.23304	0.14191	0.01235	0.14473	0.65815	0.01228	0.23858	0.13704	0.01893	0.15471	0.66109	0.02205	0.05276	0.12418	0.02279	0.10259	0.47642	0.01537
73	0.28169	0.14514	0.00761	0.15895	0.70484	0.00841	0.23325	0.14178	0.01236	0.14523	0.65819	0.01257	0.23878	0.13690	0.01895	0.15524	0.66106	0.02234	0.05295	0.12420	0.02262	0.10204	0.47671	0.01549
74	0.28196	0.14486	0.00761	0.15951	0.70478	0.00861	0.23352	0.14156	0.01248	0.14554	0.65821	0.01279	0.23904	0.13667	0.01907	0.15558	0.66101	0.02254	0.05319	0.12419	0.02246	0.10134	0.47697	0.01560
75	0.28217	0.14462	0.00773	0.15933	0.70472	0.00863	0.23374	0.14137	0.01270	0.14533	0.65817	0.01282	0.23924	0.13647	0.01930	0.15537	0.66097	0.02258	0.05336	0.12422	0.02241	0.10101	0.47696	0.01564
76	0.28223	0.14461	0.00797	0.15865	0.70469	0.00850	0.23380	0.14137	0.01301	0.14482	0.65810	0.01280	0.23929	0.13647	0.01961	0.15483	0.66094	0.02258	0.05341	0.12426	0.02248	0.10120	0.47672	0.01556
77	0.28215	0.14479	0.00825	0.15844	0.70465	0.00855	0.23372	0.14151	0.01318	0.14471	0.65802	0.01283	0.23921	0.13664	0.01980	0.15469	0.66088	0.02264	0.05335	0.12420	0.02261	0.10155	0.47653	0.01542
78	0.28203	0.14495	0.00845	0.15920	0.70455	0.00891	0.23357	0.14159	0.01304	0.14533	0.65793	0.01276	0.23908	0.13677	0.01968	0.15529	0.66076	0.02258	0.05325	0.12396	0.02276	0.10156	0.47658	0.01535
79	0.28194	0.14492	0.00848	0.16044	0.70438	0.00934	0.23345	0.14152	0.01271	0.14625	0.65780	0.01249	0.23898	0.13671	0.01935	0.15622	0.66059	0.02232	0.05316	0.12372	0.02285	0.10122	0.47677	0.01543
