	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N1_finishedFinal\FInisehdRoundN1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
31	0.00000	0.00000	0.86225	0.00000	0.00000	-1.17967
32	0.00000	0.00000	0.86263	0.00000	0.00000	-1.17865
33	0.00000	0.00000	0.86294	0.00000	0.00000	-1.17765
34	0.00000	0.00000	0.86316	0.00000	0.00000	-1.17667
35	0.00000	0.00000	0.86329	0.00000	0.00000	-1.17570
36	0.00000	0.00000	0.86335	0.00000	0.00000	-1.17475
37	0.00000	0.00000	0.86331	0.00000	0.00000	-1.17381
38	0.00000	0.00000	0.86319	0.00000	0.00000	-1.17288
39	0.00000	0.00000	0.86298	0.00000	0.00000	-1.17198
40	0.00000	0.00000	0.86269	0.00000	0.00000	-1.17108
41	0.00000	0.00000	0.86231	0.00000	0.00000	-1.17020
42	0.00000	0.00000	0.86185	0.00000	0.00000	-1.16934
43	0.00000	0.00000	0.86131	0.00000	0.00000	-1.16848
44	0.00000	0.00000	0.86068	0.00000	0.00000	-1.16764
45	0.00000	0.00000	0.85998	0.00000	0.00000	-1.16682
46	0.00000	0.00000	0.85919	0.00000	0.00000	-1.16601
47	0.00000	0.00000	0.85833	0.00000	0.00000	-1.16521
48	0.00000	0.00000	0.85739	0.00000	0.00000	-1.16442
49	0.00000	0.00000	0.85637	0.00000	0.00000	-1.16365
50	0.00000	0.00000	0.85528	0.00000	0.00000	-1.16289
51	0.00000	0.00000	0.85412	0.00000	0.00000	-1.16215
52	0.00000	0.00000	0.85289	0.00000	0.00000	-1.16141
53	0.00000	0.00000	0.85160	0.00000	0.00000	-1.16069
54	0.00000	0.00000	0.85024	0.00000	0.00000	-1.15998
55	0.00000	0.00000	0.84881	0.00000	0.00000	-1.15928
56	0.00000	0.00000	0.84733	0.00000	0.00000	-1.15860
57	0.00000	0.00000	0.84579	0.00000	0.00000	-1.15793
58	0.00000	0.00000	0.84419	0.00000	0.00000	-1.15726
59	0.00000	0.00000	0.84253	0.00000	0.00000	-1.15661
60	0.00000	0.00000	0.84082	0.00000	0.00000	-1.15597
61	0.00000	0.00000	0.83906	0.00000	0.00000	-1.15534
62	0.00000	0.00000	0.83725	0.00000	0.00000	-1.15472
63	0.00000	0.00000	0.83539	0.00000	0.00000	-1.15412
64	0.00000	0.00000	0.83348	0.00000	0.00000	-1.15352
65	0.00000	0.00000	0.83152	0.00000	0.00000	-1.15293
66	0.00000	0.00000	0.82953	0.00000	0.00000	-1.15235
67	0.00000	0.00000	0.82748	0.00000	0.00000	-1.15178
68	0.00000	0.00000	0.82540	0.00000	0.00000	-1.15122
69	0.00000	0.00000	0.82328	0.00000	0.00000	-1.15067
70	0.00000	0.00000	0.82112	0.00000	0.00000	-1.15013
71	0.00000	0.00000	0.81891	0.00000	0.00000	-1.14960
72	0.00000	0.00000	0.81668	0.00000	0.00000	-1.14908
73	0.00000	0.00000	0.81440	0.00000	0.00000	-1.14857
74	0.00000	0.00000	0.81209	0.00000	0.00000	-1.14807
75	0.00000	0.00000	0.80975	0.00000	0.00000	-1.14758
76	0.00000	0.00000	0.80737	0.00000	0.00000	-1.14710
77	0.00000	0.00000	0.80496	0.00000	0.00000	-1.14663
78	0.00000	0.00000	0.80252	0.00000	0.00000	-1.14617
79	0.00000	0.00000	0.80005	0.00000	0.00000	-1.14572
80	0.00000	0.00000	0.79754	0.00000	0.00000	-1.14527
81	0.00000	0.00000	0.79500	0.00000	0.00000	-1.14484
82	0.00000	0.00000	0.79243	0.00000	0.00000	-1.14442
83	0.00000	0.00000	0.78984	0.00000	0.00000	-1.14400
84	0.00000	0.00000	0.78721	0.00000	0.00000	-1.14360
85	0.00000	0.00000	0.78455	0.00000	0.00000	-1.14320
86	0.00000	0.00000	0.78187	0.00000	0.00000	-1.14281
87	0.00000	0.00000	0.77915	0.00000	0.00000	-1.14243
88	0.00000	0.00000	0.77642	0.00000	0.00000	-1.14206
89	0.00000	0.00000	0.77365	0.00000	0.00000	-1.14170
90	0.00000	0.00000	0.77086	0.00000	0.00000	-1.14134
91	0.00000	0.00000	0.76804	0.00000	0.00000	-1.14099
92	0.00000	0.00000	0.76520	0.00000	0.00000	-1.14065
93	0.00000	0.00000	0.76233	0.00000	0.00000	-1.14032
94	0.00000	0.00000	0.75944	0.00000	0.00000	-1.13999
95	0.00000	0.00000	0.75653	0.00000	0.00000	-1.13967
96	0.00000	0.00000	0.75359	0.00000	0.00000	-1.13935
97	0.00000	0.00000	0.75063	0.00000	0.00000	-1.13904
98	0.00000	0.00000	0.74764	0.00000	0.00000	-1.13873
99	0.00000	0.00000	0.74463	0.00000	0.00000	-1.13842
100	0.00000	0.00000	0.74160	0.00000	0.00000	-1.13811
101	0.00000	0.00000	0.73854	0.00000	0.00000	-1.13781
102	0.00000	0.00000	0.73546	0.00000	0.00000	-1.13751
