	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\FinishedElbowN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
216	-2.63903	-42.49239	238.20671	0.23004	46.86276	464.47620
217	-2.64267	-42.49320	238.26170	0.23003	46.86539	464.42426
218	-2.64638	-42.49421	238.31740	0.23028	46.86805	464.37268
219	-2.65014	-42.49540	238.37379	0.23078	46.87073	464.32153
220	-2.65395	-42.49678	238.43086	0.23154	46.87342	464.27069
221	-2.65780	-42.49835	238.48860	0.23255	46.87614	464.22025
222	-2.66168	-42.50011	238.54698	0.23381	46.87887	464.17020
223	-2.66558	-42.50206	238.60602	0.23532	46.88161	464.12048
224	-2.66951	-42.50419	238.66568	0.23707	46.88437	464.07111
225	-2.67344	-42.50650	238.72597	0.23906	46.88714	464.02216
226	-2.67738	-42.50900	238.78683	0.24129	46.88991	463.97348
227	-2.68132	-42.51168	238.84828	0.24375	46.89269	463.92520
228	-2.68524	-42.51454	238.91032	0.24644	46.89547	463.87720
229	-2.68914	-42.51758	238.97292	0.24935	46.89825	463.82959
230	-2.69302	-42.52080	239.03606	0.25248	46.90102	463.78226
231	-2.69687	-42.52420	239.09972	0.25582	46.90377	463.73526
232	-2.70068	-42.52779	239.16389	0.25937	46.90652	463.68857
233	-2.70443	-42.53156	239.22858	0.26311	46.90925	463.64212
234	-2.70814	-42.53550	239.29376	0.26704	46.91195	463.59598
235	-2.71178	-42.53963	239.35941	0.27116	46.91464	463.55014
236	-2.71535	-42.54395	239.42552	0.27546	46.91729	463.50455
237	-2.71884	-42.54845	239.49210	0.27992	46.91991	463.45923
238	-2.72226	-42.55314	239.55911	0.28454	46.92249	463.41412
239	-2.72558	-42.55803	239.62657	0.28930	46.92503	463.36929
240	-2.72881	-42.56311	239.69443	0.29418	46.92752	463.32458
241	-2.73194	-42.56840	239.76271	0.29918	46.92995	463.28015
242	-2.73497	-42.57389	239.83141	0.30429	46.93233	463.23584
243	-2.73788	-42.57960	239.90047	0.30948	46.93464	463.19174
244	-2.74067	-42.58552	239.96992	0.31475	46.93689	463.14777
245	-2.74334	-42.59167	240.03975	0.32009	46.93906	463.10397
246	-2.74588	-42.59803	240.10994	0.32548	46.94115	463.06024
247	-2.74829	-42.60463	240.18050	0.33091	46.94315	463.01663
248	-2.75056	-42.61148	240.25139	0.33637	46.94506	462.97311
249	-2.75268	-42.61856	240.32263	0.34185	46.94686	462.92963
250	-2.75466	-42.62590	240.39421	0.34733	46.94856	462.88620
251	-2.75649	-42.63349	240.46613	0.35280	46.95013	462.84277
252	-2.75816	-42.64134	240.53835	0.35826	46.95158	462.79938
253	-2.75967	-42.64947	240.61092	0.36368	46.95290	462.75592
254	-2.76102	-42.65788	240.68378	0.36906	46.95407	462.71243
255	-2.76220	-42.66656	240.75697	0.37439	46.95510	462.66888
256	-2.76321	-42.67553	240.83047	0.37966	46.95597	462.62524
257	-2.76405	-42.68480	240.90430	0.38487	46.95669	462.58145
258	-2.76472	-42.69437	240.97842	0.39001	46.95726	462.53751
259	-2.76521	-42.70426	241.05287	0.39508	46.95765	462.49344
