Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2016,-9.95736,8.5981,-5.82754,-74.25485,17.82778,-0.41707,-23.83421,15.03001,-6.36326,-137.60051,61.74985,4.57944,-3.14224,8.98006,-6.1334,-52.79516,23.08764,-0.75597,-177.03671,91.01628,-0.60723,-2.65886,-7.83406,8.59483,3.08325,-0.01861,0.62962,-0.70183,-1.29891,1.72312,-0.5539,-0.84219,0.60908,0.41713,-1.54916,1.1209,-0.11233,-0.21434,0.13643,-0.0195,-0.28869,0.24112
2017,-9.05626,11.4684,-6.32049,-71.22856,17.37481,-0.81968,-21.50548,22.74688,-7.21948,-128.2388,55.43856,4.21176,-3.25353,8.88905,-6.16541,-51.75464,22.49003,-1.20718,-158.78514,90.79916,-5.09728,-6.32038,-8.43017,9.55191,3.68823,-0.32086,1.08923,-1.90029,-0.1983,0.79141,-0.66269,-1.07522,1.12189,-0.16019,-1.48803,0.60466,-0.13124,-0.16881,0.24933,-0.16084,-0.21448,0.06316
2018,-8.24603,13.06412,-6.71093,-66.22744,16.78913,-1.3697,-17.41929,27.21444,-7.82909,-109.01443,48.04097,2.29353,-3.42607,8.84653,-6.28465,-50.36413,21.75629,-1.45281,-125.20287,84.19466,-10.83567,-9.57252,-15.2878,9.2226,3.8861,-0.53625,0.85711,-2.18984,0.27802,0.01519,-0.22415,-1.37269,0.73995,-0.45565,-1.72248,0.45722,-0.03416,-0.0412,0.14456,-0.21724,-0.16957,-0.00938
2019,-7.98258,13.13309,-7.04407,-61.65894,16.75295,-1.78556,-15.68465,26.4945,-8.55023,-94.63387,45.56976,0.57715,-3.62976,8.80058,-6.50947,-48.75739,20.86785,-1.59831,-103.9197,79.76256,-13.89939,-10.1023,-16.22286,7.09744,3.7359,-1.3031,-0.08604,-0.01031,-1.17178,0.64804,-0.14132,-1.11991,0.36956,0.31535,-1.9571,1.10122,-0.05001,0.08507,0.04319,0.00017,-0.13436,0.1632
2020,-8.4257,13.41301,-7.52644,-58.77277,17.35979,-1.83951,-18.20795,23.24892,-9.69354,-92.75575,47.69236,0.80543,-3.83218,8.88008,-6.80182,-47.10045,20.028,-1.77693,-108.73269,80.15366,-12.82412,-7.49932,-13.09278,6.44834,3.55693,-1.64703,-0.61207,3.04953,-3.7378,2.4985,-0.43258,-0.74776,0.35787,1.62928,-1.92823,2.01857,-0.12027,0.0534,0.02723,0.34028,-0.0599,0.41535
2021,-9.31449,14.73857,-8.04561,-56.75195,17.95838,-1.61015,-22.01792,21.3692,-10.4957,-96.25481,48.31497,2.23395,-3.94162,9.14853,-7.06122,-45.49456,19.45116,-1.92682,-123.06374,79.40244,-10.15864,-3.65368,-17.71248,11.27085,2.83024,-0.14758,0.57421,4.11038,-5.22945,3.94395,-0.62596,-1.06883,0.41562,2.27094,-1.66571,2.32441,-0.07973,-0.14666,0.00949,0.50508,0.04726,0.47212
2022,-9.90866,16.19975,-8.26272,-54.3103,19.14329,-1.17689,-22.9106,22.08233,-9.92475,-94.25645,47.21327,3.55946,-3.92847,9.50616,-7.19407,-43.98788,19.25031,-1.82251,-121.01207,77.18891,-7.60944,-6.55032,-26.96474,21.30796,1.14413,2.62265,3.40414,2.4434,-5.12475,4.14769,-1.0211,-1.9102,0.79556,1.78756,-1.54845,1.82611,-0.08626,-0.35556,0.04969,0.37739,0.07227,0.29679
2023,-9.79396,17.17313,-8.21543,-51.2288,21.54608,-0.67436,-20.88021,24.16376,-8.43361,-85.6961,49.16236,4.48634,-3.90129,9.87657,-7.25138,-42.68165,19.36955,-1.45534,-100.05511,79.65005,-5.249,-17.83998,-25.48847,29.98765,0.01145,4.21391,5.68226,0.54992,-4.5924,3.78189,-1.82967,-2.28244,1.703,1.06889,-1.83138,1.37937,-0.30239,-0.39615,0.2293,0.1185,-0.10834,0.16265
2024,-9.6548,18.08313,-8.35218,-48.48779,23.2228,-0.48861,-20.24433,25.36276,-7.65714,-79.06899,52.71567,4.71443,-3.97052,10.2857,-7.41897,-41.71223,19.62758,-1.17989,-84.04204,84.64848,-3.99003,-24.36628,-13.32522,28.99768,1.41123,3.07268,4.46337,0.83983,-4.22954,3.40983,-2.03095,-1.25135,2.07178,0.98553,-2.24805,1.62759,-0.44387,-0.10734,0.30673,-0.05673,-0.39891,0.23492
2025,-10.04411,19.72378,-8.98578,-46.83069,22.71721,-0.70278,-21.81366,25.74057,-8.61455,-79.14123,53.46093,4.44446,-4.11099,10.83199,-7.79914,-41.09108,19.9834,-1.21241,-86.31104,87.63145,-4.31158,-15.55121,-8.17944,18.6446,4.40498,0.52441,0.29067,2.5713,-3.94207,2.92093,-1.05517,0.66058,1.14486,1.31029,-2.54279,2.15581,-0.25078,0.37667,0.0943,-0.0854,-0.54897,0.3678
