	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
123	0.05642	0.07231	0.01061	0.13836	0.42614	0.01564
124	0.05602	0.07230	0.01088	0.13788	0.42625	0.01578
125	0.05573	0.07225	0.01113	0.13736	0.42625	0.01569
126	0.05565	0.07220	0.01126	0.13704	0.42618	0.01557
127	0.05571	0.07225	0.01123	0.13701	0.42615	0.01560
128	0.05577	0.07242	0.01109	0.13718	0.42620	0.01578
129	0.05574	0.07257	0.01105	0.13740	0.42630	0.01603
130	0.05563	0.07260	0.01118	0.13753	0.42641	0.01633
131	0.05551	0.07251	0.01138	0.13755	0.42653	0.01665
132	0.05549	0.07237	0.01145	0.13749	0.42662	0.01686
133	0.05555	0.07226	0.01130	0.13739	0.42666	0.01688
134	0.05556	0.07222	0.01108	0.13730	0.42668	0.01679
135	0.05544	0.07218	0.01101	0.13733	0.42669	0.01673
136	0.05523	0.07211	0.01119	0.13752	0.42666	0.01675
137	0.05502	0.07210	0.01154	0.13766	0.42657	0.01683
138	0.05492	0.07220	0.01186	0.13754	0.42647	0.01687
139	0.05498	0.07235	0.01201	0.13720	0.42649	0.01682
140	0.05518	0.07244	0.01201	0.13687	0.42663	0.01676
141	0.05539	0.07242	0.01194	0.13669	0.42674	0.01676
142	0.05549	0.07234	0.01182	0.13664	0.42680	0.01675
143	0.05550	0.07226	0.01159	0.13665	0.42683	0.01658
144	0.05549	0.07221	0.01127	0.13676	0.42687	0.01627
145	0.05549	0.07217	0.01104	0.13691	0.42686	0.01610
146	0.05550	0.07212	0.01100	0.13700	0.42678	0.01622
147	0.05555	0.07213	0.01102	0.13708	0.42666	0.01651
148	0.05566	0.07230	0.01087	0.13722	0.42658	0.01672
149	0.05580	0.07255	0.01058	0.13730	0.42654	0.01674
150	0.05585	0.07270	0.01039	0.13724	0.42653	0.01662
151	0.05580	0.07269	0.01044	0.13716	0.42652	0.01634
152	0.05579	0.07260	0.01060	0.13714	0.42653	0.01590
153	0.05591	0.07258	0.01068	0.13710	0.42658	0.01542
154	0.05609	0.07273	0.01067	0.13701	0.42663	0.01517
155	0.05615	0.07306	0.01072	0.13692	0.42665	0.01529
156	0.05605	0.07340	0.01089	0.13687	0.42658	0.01569
157	0.05588	0.07354	0.01109	0.13682	0.42643	0.01604
158	0.05577	0.07350	0.01116	0.13665	0.42633	0.01608
159	0.05578	0.07343	0.01101	0.13639	0.42642	0.01581
160	0.05585	0.07335	0.01079	0.13621	0.42670	0.01548
161	0.05582	0.07315	0.01071	0.13616	0.42702	0.01535
162	0.05561	0.07293	0.01085	0.13611	0.42721	0.01552
163	0.05532	0.07296	0.01110	0.13605	0.42724	0.01582
164	0.05509	0.07334	0.01131	0.13608	0.42717	0.01603
165	0.05500	0.07379	0.01140	0.13618	0.42708	0.01610
166	0.05507	0.07380	0.01138	0.13624	0.42695	0.01616
167	0.05531	0.07323	0.01126	0.13621	0.42681	0.01627
168	0.05563	0.07245	0.01103	0.13618	0.42679	0.01645
169	0.05593	0.07194	0.01078	0.13630	0.42696	0.01667
170	0.05616	0.07194	0.01066	0.13656	0.42725	0.01680
171	0.05634	0.07232	0.01079	0.13674	0.42749	0.01681
172	0.05647	0.07283	0.01108	0.13665	0.42755	0.01685
173	0.05651	0.07333	0.01127	0.13630	0.42745	0.01703
174	0.05645	0.07380	0.01119	0.13590	0.42727	0.01726
175	0.05633	0.07412	0.01096	0.13559	0.42707	0.01747
176	0.05632	0.07417	0.01075	0.13535	0.42694	0.01766
177	0.05646	0.07397	0.01064	0.13518	0.42694	0.01786
178	0.05667	0.07366	0.01064	0.13508	0.42707	0.01802
179	0.05678	0.07334	0.01076	0.13503	0.42730	0.01808
180	0.05672	0.07312	0.01094	0.13499	0.42757	0.01797
181	0.05651	0.07313	0.01111	0.13493	0.42779	0.01771
182	0.05622	0.07335	0.01125	0.13484	0.42784	0.01742
183	0.05597	0.07361	0.01135	0.13478	0.42778	0.01722
184	0.05583	0.07379	0.01140	0.13480	0.42774	0.01705
185	0.05580	0.07384	0.01136	0.13482	0.42776	0.01676
186	0.05579	0.07379	0.01125	0.13483	0.42778	0.01641
187	0.05572	0.07370	0.01122	0.13487	0.42782	0.01617
188	0.05561	0.07370	0.01129	0.13491	0.42802	0.01611
189	0.05555	0.07382	0.01138	0.13489	0.42839	0.01608
190	0.05560	0.07395	0.01144	0.13481	0.42870	0.01599
191	0.05575	0.07392	0.01149	0.13471	0.42879	0.01586
192	0.05597	0.07374	0.01153	0.13459	0.42872	0.01567
193	0.05620	0.07352	0.01152	0.13464	0.42861	0.01531
194	0.05640	0.07337	0.01153	0.13494	0.42855	0.01479
195	0.05656	0.07330	0.01163	0.13535	0.42849	0.01432
196	0.05673	0.07327	0.01182	0.13573	0.42832	0.01416
197	0.05691	0.07327	0.01203	0.13608	0.42807	0.01432
198	0.05708	0.07323	0.01216	0.13633	0.42791	0.01453
199	0.05718	0.07315	0.01214	0.13635	0.42796	0.01458
200	0.05719	0.07304	0.01206	0.13613	0.42812	0.01451
201	0.05710	0.07286	0.01205	0.13584	0.42815	0.01444
202	0.05697	0.07263	0.01219	0.13567	0.42793	0.01440
203	0.05688	0.07243	0.01241	0.13572	0.42765	0.01434
204	0.05691	0.07232	0.01256	0.13590	0.42757	0.01426
205	0.05702	0.07228	0.01260	0.13606	0.42776	0.01420
206	0.05717	0.07228	0.01253	0.13621	0.42806	0.01416
207	0.05731	0.07237	0.01235	0.13645	0.42823	0.01413
208	0.05739	0.07259	0.01213	0.13678	0.42818	0.01413
209	0.05740	0.07292	0.01198	0.13703	0.42799	0.01412
210	0.05737	0.07323	0.01198	0.13700	0.42780	0.01411
211	0.05732	0.07336	0.01212	0.13674	0.42765	0.01417
212	0.05726	0.07332	0.01225	0.13651	0.42756	0.01430
213	0.05719	0.07322	0.01227	0.13649	0.42759	0.01439
