	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
151	-3.65705	-34.61469	219.49022	-1.70889	33.31508	557.50427
152	-3.66395	-34.60311	219.41945	-1.69559	33.34144	557.53479
153	-3.67059	-34.59140	219.34831	-1.68220	33.36804	557.56519
154	-3.67697	-34.57955	219.27679	-1.66873	33.39485	557.59515
155	-3.68310	-34.56758	219.20494	-1.65520	33.42184	557.62488
156	-3.68895	-34.55548	219.13277	-1.64160	33.44900	557.65411
157	-3.69455	-34.54327	219.06032	-1.62794	33.47630	557.68304
158	-3.69987	-34.53094	218.98763	-1.61422	33.50372	557.71155
159	-3.70493	-34.51852	218.91470	-1.60044	33.53123	557.73950
160	-3.70971	-34.50600	218.84160	-1.58661	33.55883	557.76697
161	-3.71421	-34.49340	218.76831	-1.57273	33.58648	557.79395
162	-3.71844	-34.48072	218.69492	-1.55880	33.61416	557.82025
163	-3.72238	-34.46796	218.62143	-1.54482	33.64185	557.84601
164	-3.72604	-34.45514	218.54785	-1.53080	33.66953	557.87109
165	-3.72941	-34.44226	218.47429	-1.51673	33.69718	557.89551
166	-3.73250	-34.42934	218.40073	-1.50261	33.72478	557.91931
167	-3.73531	-34.41638	218.32721	-1.48843	33.75233	557.94238
168	-3.73783	-34.40339	218.25377	-1.47419	33.77977	557.96466
169	-3.74006	-34.39039	218.18051	-1.45989	33.80713	557.98633
170	-3.74202	-34.37738	218.10741	-1.44552	33.83436	558.00720
171	-3.74368	-34.36438	218.03456	-1.43107	33.86146	558.02728
172	-3.74507	-34.35139	217.96194	-1.41654	33.88839	558.04657
173	-3.74617	-34.33842	217.88965	-1.40193	33.91516	558.06506
174	-3.74698	-34.32549	217.81769	-1.38723	33.94173	558.08276
175	-3.74752	-34.31261	217.74617	-1.37243	33.96812	558.09967
176	-3.74779	-34.29979	217.67506	-1.35753	33.99429	558.11572
177	-3.74778	-34.28704	217.60446	-1.34252	34.02024	558.13098
178	-3.74750	-34.27437	217.53441	-1.32740	34.04597	558.14545
179	-3.74695	-34.26180	217.46497	-1.31214	34.07145	558.15906
180	-3.74614	-34.24934	217.39613	-1.29676	34.09669	558.17188
181	-3.74506	-34.23701	217.32800	-1.28124	34.12165	558.18384
182	-3.74373	-34.22480	217.26060	-1.26558	34.14635	558.19495
183	-3.74215	-34.21274	217.19402	-1.24977	34.17076	558.20532
184	-3.74031	-34.20084	217.12823	-1.23380	34.19490	558.21478
185	-3.73824	-34.18911	217.06339	-1.21769	34.21874	558.22345
186	-3.73593	-34.17755	216.99948	-1.20142	34.24229	558.23132
187	-3.73338	-34.16619	216.93661	-1.18499	34.26554	558.23846
188	-3.73062	-34.15503	216.87477	-1.16839	34.28849	558.24469
189	-3.72763	-34.14408	216.81407	-1.15163	34.31112	558.25024
190	-3.72444	-34.13336	216.75455	-1.13470	34.33345	558.25494
191	-3.72103	-34.12287	216.69626	-1.11760	34.35546	558.25891
192	-3.71742	-34.11264	216.63924	-1.10034	34.37715	558.26208
193	-3.71360	-34.10266	216.58354	-1.08291	34.39852	558.26453
194	-3.70959	-34.09295	216.52924	-1.06531	34.41957	558.26630
195	-3.70537	-34.08350	216.47635	-1.04756	34.44030	558.26727
196	-3.70097	-34.07435	216.42493	-1.02966	34.46070	558.26758
197	-3.69636	-34.06549	216.37506	-1.01161	34.48078	558.26715
198	-3.69157	-34.05693	216.32674	-0.99341	34.50054	558.26605
199	-3.68658	-34.04868	216.28004	-0.97508	34.51997	558.26428
200	-3.68141	-34.04076	216.23502	-0.95660	34.53907	558.26184
201	-3.67605	-34.03316	216.19170	-0.93799	34.55785	558.25879
202	-3.67052	-34.02591	216.15010	-0.91926	34.57630	558.25507
203	-3.66480	-34.01899	216.11029	-0.90041	34.59442	558.25061
204	-3.65892	-34.01243	216.07231	-0.88146	34.61221	558.24561
205	-3.65286	-34.00621	216.03616	-0.86240	34.62968	558.23993
206	-3.64664	-34.00037	216.00191	-0.84324	34.64681	558.23358
207	-3.64025	-33.99490	215.96954	-0.82400	34.66361	558.22668
208	-3.63370	-33.98981	215.93916	-0.80468	34.68009	558.21912
209	-3.62700	-33.98510	215.91077	-0.78529	34.69623	558.21088
210	-3.62015	-33.98078	215.88438	-0.76582	34.71204	558.20215
211	-3.61315	-33.97685	215.86005	-0.74631	34.72752	558.19269
212	-3.60601	-33.97332	215.83777	-0.72674	34.74265	558.18262
213	-3.59874	-33.97019	215.81758	-0.70713	34.75745	558.17194
214	-3.59134	-33.96746	215.79950	-0.68749	34.77190	558.16064
215	-3.58383	-33.96514	215.78355	-0.66783	34.78600	558.14880
216	-3.57619	-33.96324	215.76978	-0.64814	34.79976	558.13623
217	-3.56845	-33.96175	215.75818	-0.62845	34.81316	558.12317
218	-3.56061	-33.96068	215.74879	-0.60876	34.82622	558.10944
219	-3.55266	-33.96003	215.74161	-0.58908	34.83892	558.09515
220	-3.54463	-33.95980	215.73663	-0.56943	34.85126	558.08020
221	-3.53651	-33.95998	215.73389	-0.54982	34.86324	558.06464
222	-3.52832	-33.96057	215.73335	-0.53027	34.87487	558.04852
223	-3.52006	-33.96158	215.73502	-0.51078	34.88614	558.03180
224	-3.51173	-33.96299	215.73894	-0.49138	34.89705	558.01434
225	-3.50334	-33.96481	215.74507	-0.47208	34.90760	557.99634
226	-3.49490	-33.96704	215.75343	-0.45289	34.91778	557.97772
227	-3.48641	-33.96967	215.76402	-0.43382	34.92760	557.95850
228	-3.47789	-33.97271	215.77684	-0.41489	34.93705	557.93860
229	-3.46933	-33.97615	215.79187	-0.39611	34.94613	557.91815
230	-3.46076	-33.97999	215.80910	-0.37748	34.95484	557.89709
231	-3.45218	-33.98423	215.82852	-0.35902	34.96319	557.87537
232	-3.44359	-33.98887	215.85016	-0.34074	34.97116	557.85297
233	-3.43501	-33.99391	215.87399	-0.32263	34.97875	557.83002
234	-3.42645	-33.99935	215.89999	-0.30473	34.98596	557.80646
235	-3.41790	-34.00519	215.92816	-0.28703	34.99280	557.78223
236	-3.40939	-34.01142	215.95850	-0.26954	34.99926	557.75739
237	-3.40092	-34.01805	215.99098	-0.25227	35.00533	557.73199
238	-3.39250	-34.02507	216.02560	-0.23523	35.01102	557.70593
239	-3.38414	-34.03249	216.06238	-0.21843	35.01633	557.67932
240	-3.37585	-34.04030	216.10124	-0.20187	35.02126	557.65222
241	-3.36763	-34.04850	216.14220	-0.18555	35.02580	557.62439
242	-3.35951	-34.05709	216.18527	-0.16949	35.02996	557.59613
243	-3.35148	-34.06607	216.23039	-0.15368	35.03374	557.56726
244	-3.34356	-34.07544	216.27757	-0.13815	35.03714	557.53784
245	-3.33576	-34.08519	216.32681	-0.12288	35.04015	557.50793
246	-3.32808	-34.09532	216.37808	-0.10789	35.04278	557.47748
247	-3.32053	-34.10584	216.43135	-0.09316	35.04503	557.44659
248	-3.31312	-34.11673	216.48665	-0.07871	35.04691	557.41522
249	-3.30585	-34.12801	216.54391	-0.06452	35.04840	557.38342
250	-3.29874	-34.13966	216.60316	-0.05059	35.04953	557.35120
251	-3.29179	-34.15168	216.66435	-0.03693	35.05029	557.31854
252	-3.28500	-34.16408	216.72748	-0.02354	35.05067	557.28552
253	-3.27839	-34.17685	216.79253	-0.01040	35.05069	557.25220
254	-3.27195	-34.18998	216.85950	0.00247	35.05034	557.21851
255	-3.26571	-34.20349	216.92834	0.01509	35.04963	557.18451
256	-3.25965	-34.21735	216.99908	0.02746	35.04857	557.15027
257	-3.25378	-34.23158	217.07173	0.03958	35.04715	557.11578
258	-3.24810	-34.24616	217.14626	0.05146	35.04539	557.08112
259	-3.24263	-34.26110	217.22264	0.06310	35.04329	557.04626
260	-3.23735	-34.27639	217.30092	0.07451	35.04086	557.01123
261	-3.23229	-34.29203	217.38104	0.08568	35.03809	556.97620
262	-3.22743	-34.30801	217.46304	0.09663	35.03499	556.94098
263	-3.22278	-34.32434	217.54688	0.10736	35.03158	556.90576
264	-3.21834	-34.34101	217.63258	0.11787	35.02785	556.87048
265	-3.21412	-34.35802	217.72012	0.12817	35.02382	556.83533
266	-3.21010	-34.37536	217.80951	0.13827	35.01949	556.80017
267	-3.20630	-34.39303	217.90073	0.14818	35.01487	556.76520
268	-3.20271	-34.41103	217.99380	0.15789	35.00997	556.73029
269	-3.19933	-34.42934	218.08868	0.16742	35.00480	556.69556
270	-3.19616	-34.44799	218.18544	0.17678	34.99936	556.66095
271	-3.19320	-34.46695	218.28398	0.18596	34.99367	556.62665
272	-3.19045	-34.48622	218.38438	0.19498	34.98774	556.59265
273	-3.18791	-34.50580	218.48657	0.20385	34.98156	556.55884
274	-3.18558	-34.52569	218.59059	0.21256	34.97515	556.52545
275	-3.18346	-34.54588	218.69640	0.22114	34.96852	556.49237
276	-3.18155	-34.56637	218.80400	0.22958	34.96167	556.45972
277	-3.17986	-34.58716	218.91339	0.23791	34.95461	556.42749
278	-3.17837	-34.60824	219.02455	0.24611	34.94735	556.39569
279	-3.17710	-34.62962	219.13748	0.25421	34.93990	556.36444
280	-3.17603	-34.65128	219.25217	0.26221	34.93227	556.33362
281	-3.17518	-34.67322	219.36862	0.27012	34.92446	556.30341
282	-3.17455	-34.69544	219.48677	0.27794	34.91648	556.27368
283	-3.17412	-34.71795	219.60667	0.28569	34.90835	556.24463
284	-3.17389	-34.74073	219.72827	0.29335	34.90006	556.21619
285	-3.17388	-34.76379	219.85161	0.30095	34.89163	556.18835
286	-3.17407	-34.78712	219.97661	0.30849	34.88306	556.16125
287	-3.17446	-34.81072	220.10332	0.31597	34.87437	556.13477
288	-3.17506	-34.83459	220.23167	0.32339	34.86555	556.10901
289	-3.17586	-34.85873	220.36168	0.33077	34.85662	556.08398
290	-3.17686	-34.88314	220.49333	0.33810	34.84759	556.05969
291	-3.17805	-34.90780	220.62663	0.34540	34.83847	556.03619
292	-3.17944	-34.93272	220.76152	0.35266	34.82927	556.01355
293	-3.18102	-34.95791	220.89803	0.35990	34.81998	555.99164
294	-3.18279	-34.98334	221.03610	0.36710	34.81063	555.97052
295	-3.18475	-35.00903	221.17575	0.37428	34.80124	555.95032
296	-3.18689	-35.03496	221.31693	0.38145	34.79180	555.93091
297	-3.18921	-35.06113	221.45966	0.38860	34.78233	555.91229
298	-3.19171	-35.08754	221.60388	0.39573	34.77283	555.89459
299	-3.19438	-35.11419	221.74960	0.40286	34.76333	555.87775
300	-3.19723	-35.14108	221.89682	0.40999	34.75382	555.86188
301	-3.20024	-35.16820	222.04546	0.41712	34.74432	555.84680
302	-3.20342	-35.19554	222.19550	0.42425	34.73484	555.83270
303	-3.20676	-35.22311	222.34695	0.43141	34.72539	555.81934
304	-3.21025	-35.25090	222.49977	0.43857	34.71597	555.80707
305	-3.21390	-35.27891	222.65390	0.44577	34.70661	555.79559
306	-3.21769	-35.30714	222.80937	0.45299	34.69730	555.78510
307	-3.22164	-35.33558	222.96609	0.46024	34.68806	555.77545
308	-3.22572	-35.36422	223.12408	0.46753	34.67890	555.76672
309	-3.22994	-35.39307	223.28328	0.47487	34.66982	555.75897
310	-3.23430	-35.42213	223.44366	0.48225	34.66084	555.75208
311	-3.23879	-35.45139	223.60521	0.48969	34.65196	555.74615
312	-3.24342	-35.48084	223.76785	0.49719	34.64319	555.74109
313	-3.24818	-35.51048	223.93158	0.50475	34.63454	555.73694
314	-3.25307	-35.54032	224.09634	0.51238	34.62601	555.73376
315	-3.25809	-35.57034	224.26212	0.52008	34.61761	555.73145
316	-3.26323	-35.60054	224.42886	0.52786	34.60936	555.72998
317	-3.26850	-35.63092	224.59654	0.53573	34.60125	555.72949
318	-3.27389	-35.66148	224.76511	0.54367	34.59330	555.72980
319	-3.27939	-35.69220	224.93454	0.55171	34.58551	555.73108
320	-3.28501	-35.72308	225.10477	0.55983	34.57789	555.73315
321	-3.29073	-35.75412	225.27580	0.56805	34.57045	555.73615
322	-3.29655	-35.78530	225.44754	0.57636	34.56319	555.73999
323	-3.30246	-35.81663	225.61996	0.58477	34.55613	555.74469
324	-3.30847	-35.84809	225.79303	0.59327	34.54926	555.75024
325	-3.31456	-35.87968	225.96671	0.60188	34.54259	555.75665
326	-3.32074	-35.91139	226.14095	0.61059	34.53613	555.76392
327	-3.32699	-35.94321	226.31569	0.61940	34.52989	555.77197
328	-3.33331	-35.97514	226.49094	0.62831	34.52387	555.78082
329	-3.33970	-36.00716	226.66661	0.63731	34.51807	555.79059
330	-3.34614	-36.03927	226.84267	0.64641	34.51249	555.80096
331	-3.35263	-36.07145	227.01907	0.65561	34.50715	555.81232
332	-3.35918	-36.10369	227.19582	0.66489	34.50203	555.82434
333	-3.36576	-36.13600	227.37280	0.67426	34.49715	555.83710
334	-3.37237	-36.16835	227.55000	0.68372	34.49251	555.85065
335	-3.37902	-36.20073	227.72740	0.69326	34.48811	555.86487
336	-3.38569	-36.23314	227.90494	0.70288	34.48396	555.87994
337	-3.39238	-36.26556	228.08257	0.71257	34.48005	555.89569
338	-3.39908	-36.29799	228.26030	0.72232	34.47639	555.91205
339	-3.40581	-36.33041	228.43805	0.73214	34.47298	555.92920
340	-3.41254	-36.36280	228.61580	0.74200	34.46983	555.94690
341	-3.41928	-36.39516	228.79353	0.75192	34.46693	555.96539
342	-3.42603	-36.42747	228.97118	0.76188	34.46428	555.98444
343	-3.43277	-36.45974	229.14873	0.77187	34.46189	556.00421
344	-3.43951	-36.49193	229.32613	0.78189	34.45977	556.02460
345	-3.44625	-36.52404	229.50336	0.79193	34.45790	556.04553
346	-3.45297	-36.55606	229.68037	0.80197	34.45630	556.06714
347	-3.45968	-36.58799	229.85713	0.81202	34.45496	556.08929
348	-3.46636	-36.61981	230.03365	0.82205	34.45388	556.11200
349	-3.47301	-36.65151	230.20982	0.83206	34.45306	556.13525
350	-3.47963	-36.68309	230.38565	0.84203	34.45251	556.15912
351	-3.48622	-36.71453	230.56113	0.85196	34.45223	556.18347
352	-3.49276	-36.74582	230.73616	0.86183	34.45221	556.20837
353	-3.49926	-36.77696	230.91075	0.87163	34.45246	556.23376
354	-3.50571	-36.80794	231.08488	0.88137	34.45297	556.25964
355	-3.51210	-36.83875	231.25848	0.89102	34.45374	556.28601
356	-3.51843	-36.86937	231.43152	0.90058	34.45478	556.31274
357	-3.52470	-36.89980	231.60400	0.91005	34.45607	556.33997
358	-3.53091	-36.93004	231.77585	0.91941	34.45763	556.36768
359	-3.53705	-36.96007	231.94704	0.92867	34.45944	556.39569
360	-3.54311	-36.98989	232.11755	0.93780	34.46150	556.42413
361	-3.54909	-37.01948	232.28734	0.94682	34.46382	556.45288
362	-3.55500	-37.04884	232.45638	0.95569	34.46638	556.48199
363	-3.56082	-37.07796	232.62460	0.96443	34.46920	556.51135
364	-3.56655	-37.10683	232.79202	0.97303	34.47226	556.54114
365	-3.57219	-37.13546	232.95859	0.98147	34.47557	556.57117
