	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedRoundhouseE1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
31	0.00000	0.00000	0.10005	0.00000	0.00000	-2.05757
32	0.00000	0.00000	0.10158	0.00000	0.00000	-2.05816
33	0.00000	0.00000	0.10310	0.00000	0.00000	-2.05869
34	0.00000	0.00000	0.10460	0.00000	0.00000	-2.05915
35	0.00000	0.00000	0.10609	0.00000	0.00000	-2.05955
36	0.00000	0.00000	0.10757	0.00000	0.00000	-2.05987
37	0.00000	0.00000	0.10903	0.00000	0.00000	-2.06013
38	0.00000	0.00000	0.11048	0.00000	0.00000	-2.06033
39	0.00000	0.00000	0.11191	0.00000	0.00000	-2.06045
40	0.00000	0.00000	0.11332	0.00000	0.00000	-2.06052
41	0.00000	0.00000	0.11471	0.00000	0.00000	-2.06052
42	0.00000	0.00000	0.11609	0.00000	0.00000	-2.06045
43	0.00000	0.00000	0.11744	0.00000	0.00000	-2.06032
44	0.00000	0.00000	0.11878	0.00000	0.00000	-2.06013
45	0.00000	0.00000	0.12010	0.00000	0.00000	-2.05988
46	0.00000	0.00000	0.12139	0.00000	0.00000	-2.05956
47	0.00000	0.00000	0.12267	0.00000	0.00000	-2.05919
48	0.00000	0.00000	0.12392	0.00000	0.00000	-2.05875
49	0.00000	0.00000	0.12515	0.00000	0.00000	-2.05826
50	0.00000	0.00000	0.12635	0.00000	0.00000	-2.05771
51	0.00000	0.00000	0.12754	0.00000	0.00000	-2.05710
52	0.00000	0.00000	0.12869	0.00000	0.00000	-2.05644
53	0.00000	0.00000	0.12982	0.00000	0.00000	-2.05573
54	0.00000	0.00000	0.13092	0.00000	0.00000	-2.05496
55	0.00000	0.00000	0.13199	0.00000	0.00000	-2.05415
56	0.00000	0.00000	0.13303	0.00000	0.00000	-2.05329
57	0.00000	0.00000	0.13404	0.00000	0.00000	-2.05238
58	0.00000	0.00000	0.13503	0.00000	0.00000	-2.05143
59	0.00000	0.00000	0.13598	0.00000	0.00000	-2.05044
60	0.00000	0.00000	0.13689	0.00000	0.00000	-2.04941
61	0.00000	0.00000	0.13778	0.00000	0.00000	-2.04834
62	0.00000	0.00000	0.13863	0.00000	0.00000	-2.04724
63	0.00000	0.00000	0.13945	0.00000	0.00000	-2.04610
64	0.00000	0.00000	0.14023	0.00000	0.00000	-2.04493
65	0.00000	0.00000	0.14098	0.00000	0.00000	-2.04374
66	0.00000	0.00000	0.14169	0.00000	0.00000	-2.04252
67	0.00000	0.00000	0.14236	0.00000	0.00000	-2.04127
68	0.00000	0.00000	0.14301	0.00000	0.00000	-2.04001
69	0.00000	0.00000	0.14361	0.00000	0.00000	-2.03872
70	0.00000	0.00000	0.14419	0.00000	0.00000	-2.03742
71	0.00000	0.00000	0.14473	0.00000	0.00000	-2.03610
72	0.00000	0.00000	0.14523	0.00000	0.00000	-2.03477
73	0.00000	0.00000	0.14571	0.00000	0.00000	-2.03343
74	0.00000	0.00000	0.14615	0.00000	0.00000	-2.03208
75	0.00000	0.00000	0.14655	0.00000	0.00000	-2.03073
76	0.00000	0.00000	0.14693	0.00000	0.00000	-2.02937
77	0.00000	0.00000	0.14727	0.00000	0.00000	-2.02801
78	0.00000	0.00000	0.14758	0.00000	0.00000	-2.02665
79	0.00000	0.00000	0.14785	0.00000	0.00000	-2.02529
80	0.00000	0.00000	0.14810	0.00000	0.00000	-2.02394
81	0.00000	0.00000	0.14831	0.00000	0.00000	-2.02259
82	0.00000	0.00000	0.14849	0.00000	0.00000	-2.02126
83	0.00000	0.00000	0.14864	0.00000	0.00000	-2.01994
84	0.00000	0.00000	0.14876	0.00000	0.00000	-2.01863
85	0.00000	0.00000	0.14885	0.00000	0.00000	-2.01734
86	0.00000	0.00000	0.14890	0.00000	0.00000	-2.01606
87	0.00000	0.00000	0.14893	0.00000	0.00000	-2.01480
88	0.00000	0.00000	0.14893	0.00000	0.00000	-2.01357
89	0.00000	0.00000	0.14891	0.00000	0.00000	-2.01236
90	0.00000	0.00000	0.14885	0.00000	0.00000	-2.01117
91	0.00000	0.00000	0.14877	0.00000	0.00000	-2.01000
92	0.00000	0.00000	0.14867	0.00000	0.00000	-2.00887
93	0.00000	0.00000	0.14854	0.00000	0.00000	-2.00776
94	0.00000	0.00000	0.14839	0.00000	0.00000	-2.00668
95	0.00000	0.00000	0.14821	0.00000	0.00000	-2.00563
96	0.00000	0.00000	0.14802	0.00000	0.00000	-2.00461
97	0.00000	0.00000	0.14781	0.00000	0.00000	-2.00362
98	0.00000	0.00000	0.14758	0.00000	0.00000	-2.00266
99	0.00000	0.00000	0.14734	0.00000	0.00000	-2.00174
100	0.00000	0.00000	0.14708	0.00000	0.00000	-2.00084
101	0.00000	0.00000	0.14682	0.00000	0.00000	-1.99998
102	0.00000	0.00000	0.14654	0.00000	0.00000	-1.99915
103	0.00000	0.00000	0.14625	0.00000	0.00000	-1.99836
104	0.00000	0.00000	0.14595	0.00000	0.00000	-1.99759
105	0.00000	0.00000	0.14564	0.00000	0.00000	-1.99686
106	0.00000	0.00000	0.14533	0.00000	0.00000	-1.99617
107	0.00000	0.00000	0.14501	0.00000	0.00000	-1.99551
108	0.00000	0.00000	0.14469	0.00000	0.00000	-1.99488
109	0.00000	0.00000	0.14436	0.00000	0.00000	-1.99429
110	0.00000	0.00000	0.14403	0.00000	0.00000	-1.99373
