	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E1_finished_final\finishedUpperE1.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
135	0.13287	0.08371	0.06161	0.10409	0.48458	0.00305
136	0.13265	0.08336	0.06129	0.10404	0.48446	0.00313
137	0.13243	0.08307	0.06107	0.10397	0.48438	0.00328
138	0.13221	0.08280	0.06082	0.10396	0.48433	0.00346
139	0.13186	0.08271	0.06041	0.10405	0.48435	0.00357
140	0.13130	0.08295	0.05991	0.10413	0.48450	0.00352
141	0.13053	0.08350	0.05947	0.10412	0.48478	0.00332
142	0.12956	0.08417	0.05918	0.10402	0.48510	0.00307
143	0.12843	0.08469	0.05902	0.10387	0.48530	0.00287
144	0.12715	0.08484	0.05896	0.10379	0.48525	0.00280
145	0.12573	0.08472	0.05895	0.10380	0.48499	0.00286
146	0.12415	0.08459	0.05900	0.10379	0.48474	0.00305
147	0.12247	0.08462	0.05915	0.10367	0.48467	0.00336
148	0.12079	0.08481	0.05933	0.10354	0.48474	0.00368
149	0.11921	0.08507	0.05932	0.10356	0.48481	0.00382
150	0.11789	0.08532	0.05890	0.10372	0.48479	0.00379
151	0.11700	0.08548	0.05800	0.10393	0.48464	0.00369
152	0.11654	0.08566	0.05674	0.10413	0.48449	0.00356
153	0.11630	0.08604	0.05533	0.10426	0.48460	0.00341
154	0.11609	0.08668	0.05402	0.10430	0.48501	0.00332
155	0.11584	0.08739	0.05292	0.10433	0.48540	0.00335
156	0.11557	0.08793	0.05197	0.10432	0.48555	0.00338
157	0.11532	0.08815	0.05108	0.10420	0.48553	0.00328
158	0.11506	0.08800	0.05022	0.10403	0.48543	0.00315
159	0.11478	0.08756	0.04935	0.10395	0.48531	0.00317
160	0.11452	0.08710	0.04840	0.10401	0.48515	0.00338
161	0.11433	0.08684	0.04749	0.10417	0.48500	0.00367
162	0.11426	0.08680	0.04671	0.10429	0.48495	0.00391
