	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
20	0.33988	0.19622	0.00529	0.13887	0.68696	0.00304	0.29641	0.17637	0.00959	0.11887	0.64358	0.00759	0.31261	0.15598	0.01467	0.09917	0.65985	0.01508	0.14394	0.07933	0.01894	0.01871	0.48478	0.01006
21	0.33991	0.19619	0.00531	0.13917	0.68695	0.00321	0.29644	0.17629	0.00928	0.11906	0.64358	0.00728	0.31267	0.15593	0.01439	0.09941	0.65991	0.01478	0.14411	0.07907	0.01906	0.01849	0.48504	0.01017
22	0.33988	0.19606	0.00527	0.13953	0.68700	0.00339	0.29641	0.17614	0.00918	0.11931	0.64365	0.00713	0.31265	0.15580	0.01432	0.09970	0.66003	0.01463	0.14412	0.07889	0.01916	0.01840	0.48534	0.01005
23	0.33981	0.19599	0.00519	0.13970	0.68711	0.00342	0.29634	0.17610	0.00924	0.11946	0.64377	0.00717	0.31257	0.15574	0.01435	0.09984	0.66015	0.01464	0.14400	0.07892	0.01921	0.01846	0.48550	0.00985
24	0.33975	0.19601	0.00512	0.13960	0.68721	0.00327	0.29628	0.17616	0.00945	0.11942	0.64388	0.00746	0.31249	0.15577	0.01449	0.09975	0.66023	0.01486	0.14382	0.07915	0.01924	0.01865	0.48546	0.00965
25	0.33977	0.19599	0.00516	0.13937	0.68722	0.00307	0.29629	0.17621	0.00969	0.11929	0.64391	0.00782	0.31247	0.15578	0.01472	0.09954	0.66022	0.01512	0.14367	0.07943	0.01928	0.01887	0.48527	0.00953
26	0.33984	0.19590	0.00533	0.13924	0.68712	0.00303	0.29633	0.17617	0.00975	0.11917	0.64380	0.00787	0.31248	0.15574	0.01485	0.09940	0.66010	0.01512	0.14362	0.07954	0.01935	0.01888	0.48508	0.00954
27	0.33985	0.19586	0.00554	0.13924	0.68696	0.00324	0.29631	0.17610	0.00953	0.11911	0.64361	0.00746	0.31247	0.15572	0.01476	0.09940	0.65994	0.01478	0.14367	0.07938	0.01949	0.01859	0.48504	0.00964
28	0.33971	0.19595	0.00564	0.13934	0.68686	0.00352	0.29618	0.17610	0.00919	0.11911	0.64348	0.00687	0.31239	0.15578	0.01451	0.09950	0.65985	0.01438	0.14377	0.07907	0.01965	0.01820	0.48517	0.00972
29	0.33953	0.19615	0.00559	0.13951	0.68689	0.00366	0.29603	0.17619	0.00904	0.11922	0.64351	0.00659	0.31229	0.15592	0.01439	0.09969	0.65990	0.01427	0.14387	0.07881	0.01978	0.01804	0.48537	0.00970
30	0.33943	0.19630	0.00544	0.13971	0.68704	0.00361	0.29597	0.17630	0.00916	0.11942	0.64368	0.00678	0.31226	0.15605	0.01451	0.09990	0.66006	0.01451	0.14393	0.07874	0.01985	0.01820	0.48556	0.00964
31	0.33948	0.19626	0.00531	0.13986	0.68721	0.00350	0.29604	0.17629	0.00933	0.11960	0.64386	0.00706	0.31231	0.15604	0.01472	0.10003	0.66023	0.01470	0.14392	0.07882	0.01985	0.01849	0.48567	0.00967
