Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1534,4.5936,-16.64281,5.74782,-7.45196,5.9795,0.45903,-6.04595,-25.38489,7.46148,-14.31438,14.14162,2.85294,-31.36433,21.33865,-0.80672,-16.63846,-2.91767,-1.66275,-15.20156,6.6542,-0.97081,38.16189,2.00718,0.17077,-0.82992,-1.18255,-0.4977,1.67684,-1.08142,0.02479,2.24416,-1.61045,-1.02252,1.61556,0.76263,0.38606,0.30788,-0.18348,-0.00134,0.04533,0.01444,0.05611
1535,4.27652,-17.52198,5.9353,-6.64028,6.82026,0.79271,-5.07656,-29.46072,6.6003,-13.36974,16.98272,5.67245,-31.439,21.60382,-0.9155,-15.71997,-2.67961,-1.54495,-10.74504,6.83325,1.82623,30.35471,-6.72117,6.34616,-0.076,-1.00953,-0.19237,5.93299,0.01688,0.79472,2.32424,-1.97922,-0.80903,1.88071,1.05785,-0.32326,0.26974,-0.16262,-0.02881,0.04922,0.04111,-0.01592
1536,4.20935,-17.60832,5.89513,-5.80238,6.29234,0.87032,-3.53997,-29.24304,6.11008,-12.38135,15.16665,6.06342,-31.51856,21.75089,-0.99343,-14.675,-2.49465,-1.43872,-7.21689,7.25486,1.42436,22.03126,-14.0334,7.2009,2.2562,0.33484,0.53727,7.11348,-0.52338,0.59945,1.38167,-1.75078,0.07753,2.37361,1.17331,-0.60705,0.06754,-0.06438,-0.02867,0.14447,0.02615,-0.04903
1537,3.89196,-17.25195,5.89665,-5.40957,5.47448,0.71176,-4.75843,-26.53442,6.83076,-15.0222,11.35304,3.80105,-31.68724,21.77061,-1.06571,-13.48485,-2.38295,-1.3519,-13.63401,6.57691,-0.58984,15.10618,-9.45734,2.14189,6.29988,0.85573,0.75564,6.78931,-1.58936,0.2289,0.33245,-1.35925,1.0196,2.63184,1.19068,-0.57999,-0.12391,0.02427,-0.006,0.25327,0.02007,-0.0239
1538,3.34136,-17.06918,6.06224,-5.39097,5.10071,0.47054,-9.52391,-23.59365,7.92917,-19.19884,8.96446,0.94457,-31.93021,21.77123,-1.11954,-12.19903,-2.21341,-1.24524,-26.50503,8.03332,-2.44393,12.56935,-0.50565,-3.85646,9.24543,-0.20068,0.16934,5.50687,-2.25394,-0.17967,0.18384,-1.25578,1.2234,2.35688,1.26794,-0.52938,-0.12505,0.02534,0.02063,0.26267,0.08508,-0.00631
1539,2.75617,-17.06853,6.21254,-5.33201,5.23889,0.40267,-14.656,-22.32142,8.09724,-19.97341,8.60835,-0.0658,-32.17792,21.83409,-1.14122,-10.93478,-1.82537,-1.05934,-33.56694,11.32829,-2.80166,15.40832,-2.60319,-1.85072,6.75011,-0.74333,-0.21267,3.87545,-1.87642,-0.44903,1.03876,-1.49065,0.4627,1.95636,1.43056,-0.45303,0.0547,-0.05577,0.02759,0.21329,0.20124,-0.04404
1540,2.21409,-17.10284,6.26218,-5.34522,5.44646,0.52378,-16.36572,-23.19459,7.60826,-17.82097,8.09804,0.62552,-32.41246,21.91239,-1.16452,-9.76971,-1.31979,-0.83204,-30.71356,10.87418,-1.48026,19.43125,-12.15467,9.20222,-0.0763,0.9301,0.52612,4.16817,-0.335,0.17991,2.12073,-1.91326,-0.51692,1.94768,1.46992,-0.2664,0.26489,-0.16477,0.01541,0.24127,0.25826,-0.09059
1541,2.01489,-17.50463,6.36422,-5.17516,5.03983,0.58204,-14.16742,-24.8861,7.56802,-16.31183,5.49048,0.76873,-32.65686,21.9637,-1.22793,-8.60145,-0.97096,-0.6849,-24.02427,5.35013,-0.49214,20.49255,-11.72881,16.96757,-4.19056,2.99932,1.59003,6.49661,0.98291,1.55413,2.55695,-2.25204,-0.79132,2.13755,1.13602,-0.00887,0.35799,-0.22395,-0.00477,0.33533,0.1673,-0.06597
1542,2.22015,-18.46144,6.59011,-4.2492,4.15307,0.4589,-11.85391,-25.89339,7.86637,-16.18401,3.01236,-0.17272,-32.90207,22.05138,-1.3329,-7.32462,-0.83902,-0.64912,-21.12902,2.4323,-1.53371,24.01668,-0.4169,9.87105,-0.912,2.04959,1.47336,6.8479,0.22875,2.17208,2.03215,-2.19328,-0.11008,2.09986,0.55082,0.48693,0.28577,-0.19169,-0.00562,0.34953,-0.03063,0.08427
1543,2.16705,-19.45727,6.80567,-2.97567,3.86716,0.32396,-13.68962,-25.3409,7.59238,-15.29738,4.31963,-0.54567,-33.11946,22.20118,-1.47642,-6.05953,-0.73003,-0.60533,-24.61943,8.78114,-3.97338,37.58191,6.52979,-7.64267,6.15414,-1.96126,0.22414,2.98485,-2.70442,0.7238,1.13999,-1.82267,0.90317,1.8653,0.26252,0.87272,0.15516,-0.12982,0.04396,0.19947,-0.17104,0.2319
