	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutRoundE3.c3d
31	0.29462	0.03339	0.08545	-0.01564	0.39275	0.01001
32	0.29444	0.03356	0.08597	-0.01546	0.39265	0.01035
33	0.29437	0.03374	0.08647	-0.01550	0.39256	0.01064
34	0.29452	0.03379	0.08669	-0.01562	0.39256	0.01075
35	0.29486	0.03362	0.08663	-0.01566	0.39272	0.01071
36	0.29520	0.03334	0.08652	-0.01557	0.39300	0.01063
37	0.29533	0.03319	0.08647	-0.01539	0.39332	0.01053
38	0.29515	0.03330	0.08633	-0.01520	0.39363	0.01036
39	0.29476	0.03356	0.08598	-0.01510	0.39390	0.01017
40	0.29441	0.03380	0.08556	-0.01504	0.39409	0.01002
41	0.29426	0.03387	0.08542	-0.01492	0.39407	0.00997
42	0.29435	0.03378	0.08567	-0.01479	0.39377	0.01007
43	0.29455	0.03363	0.08613	-0.01468	0.39336	0.01026
44	0.29475	0.03358	0.08643	-0.01455	0.39321	0.01042
45	0.29493	0.03366	0.08638	-0.01438	0.39342	0.01044
46	0.29517	0.03379	0.08615	-0.01425	0.39370	0.01040
47	0.29542	0.03385	0.08598	-0.01424	0.39370	0.01042
48	0.29549	0.03385	0.08597	-0.01434	0.39337	0.01047
49	0.29541	0.03381	0.08596	-0.01456	0.39300	0.01044
50	0.29544	0.03377	0.08590	-0.01491	0.39286	0.01025
51	0.29567	0.03370	0.08586	-0.01525	0.39303	0.00995
52	0.29588	0.03357	0.08591	-0.01541	0.39334	0.00967
53	0.29585	0.03339	0.08595	-0.01537	0.39357	0.00952
54	0.29562	0.03324	0.08589	-0.01526	0.39361	0.00961
55	0.29532	0.03323	0.08578	-0.01518	0.39354	0.00985
56	0.29514	0.03336	0.08577	-0.01500	0.39349	0.01007
57	0.29518	0.03356	0.08581	-0.01471	0.39348	0.01017
58	0.29536	0.03374	0.08576	-0.01459	0.39339	0.01020
59	0.29543	0.03384	0.08565	-0.01481	0.39318	0.01024
60	0.29530	0.03380	0.08563	-0.01514	0.39297	0.01028
61	0.29511	0.03365	0.08578	-0.01532	0.39290	0.01025
62	0.29501	0.03351	0.08600	-0.01541	0.39296	0.01018
63	0.29496	0.03346	0.08610	-0.01553	0.39301	0.01017
64	0.29484	0.03347	0.08601	-0.01568	0.39300	0.01023
65	0.29466	0.03348	0.08577	-0.01568	0.39300	0.01030
66	0.29460	0.03341	0.08552	-0.01546	0.39305	0.01038
67	0.29481	0.03333	0.08541	-0.01520	0.39311	0.01057
68	0.29519	0.03337	0.08546	-0.01514	0.39312	0.01084
69	0.29545	0.03358	0.08557	-0.01518	0.39308	0.01103
70	0.29543	0.03380	0.08568	-0.01513	0.39309	0.01100
71	0.29527	0.03386	0.08574	-0.01510	0.39315	0.01079
72	0.29520	0.03378	0.08576	-0.01512	0.39321	0.01059
73	0.29530	0.03373	0.08573	-0.01511	0.39326	0.01048
74	0.29550	0.03379	0.08569	-0.01510	0.39330	0.01039
75	0.29564	0.03388	0.08571	-0.01525	0.39324	0.01023
76	0.29566	0.03391	0.08583	-0.01549	0.39305	0.01006
77	0.29556	0.03387	0.08598	-0.01556	0.39286	0.01002
78	0.29544	0.03378	0.08610	-0.01530	0.39284	0.01019
79	0.29536	0.03366	0.08618	-0.01482	0.39298	0.01046
80	0.29538	0.03351	0.08620	-0.01449	0.39308	0.01065
81	0.29550	0.03336	0.08610	-0.01452	0.39306	0.01073
82	0.29562	0.03323	0.08589	-0.01482	0.39300	0.01079
83	0.29558	0.03314	0.08569	-0.01509	0.39301	0.01086
84	0.29534	0.03312	0.08560	-0.01514	0.39306	0.01086
85	0.29514	0.03314	0.08561	-0.01507	0.39309	0.01077
86	0.29519	0.03320	0.08562	-0.01503	0.39313	0.01057
87	0.29543	0.03329	0.08548	-0.01507	0.39322	0.01031
88	0.29561	0.03339	0.08524	-0.01503	0.39333	0.01014
89	0.29569	0.03341	0.08509	-0.01492	0.39337	0.01025
90	0.29574	0.03331	0.08515	-0.01489	0.39330	0.01055
91	0.29577	0.03313	0.08539	-0.01503	0.39317	0.01083
92	0.29571	0.03294	0.08569	-0.01519	0.39304	0.01090
93	0.29560	0.03276	0.08597	-0.01525	0.39291	0.01081
94	0.29554	0.03265	0.08612	-0.01522	0.39282	0.01075
95	0.29561	0.03270	0.08605	-0.01527	0.39283	0.01080
96	0.29569	0.03289	0.08585	-0.01553	0.39293	0.01091
97	0.29562	0.03310	0.08571	-0.01586	0.39303	0.01098
98	0.29542	0.03325	0.08580	-0.01594	0.39301	0.01094
99	0.29530	0.03330	0.08608	-0.01573	0.39282	0.01083
100	0.29533	0.03329	0.08634	-0.01552	0.39251	0.01072
101	0.29547	0.03326	0.08642	-0.01545	0.39231	0.01060
102	0.29562	0.03319	0.08636	-0.01532	0.39239	0.01037
103	0.29580	0.03305	0.08621	-0.01503	0.39269	0.01002
104	0.29599	0.03288	0.08599	-0.01467	0.39304	0.00972
105	0.29599	0.03284	0.08575	-0.01439	0.39328	0.00961
106	0.29573	0.03299	0.08562	-0.01434	0.39338	0.00978
107	0.29545	0.03323	0.08562	-0.01451	0.39340	0.01014
108	0.29539	0.03338	0.08563	-0.01473	0.39343	0.01055
109	0.29550	0.03340	0.08558	-0.01483	0.39351	0.01087
110	0.29560	0.03337	0.08544	-0.01483	0.39354	0.01101
111	0.29573	0.03329	0.08527	-0.01483	0.39344	0.01093
112	0.29600	0.03310	0.08517	-0.01485	0.39325	0.01071
113	0.29634	0.03286	0.08516	-0.01485	0.39314	0.01044
114	0.29651	0.03271	0.08522	-0.01478	0.39324	0.01022
115	0.29642	0.03268	0.08529	-0.01462	0.39352	0.01015
116	0.29623	0.03271	0.08531	-0.01441	0.39385	0.01023
117	0.29610	0.03272	0.08523	-0.01429	0.39413	0.01029
118	0.29605	0.03263	0.08504	-0.01428	0.39425	0.01019
119	0.29605	0.03247	0.08488	-0.01427	0.39419	0.01005
120	0.29611	0.03234	0.08486	-0.01417	0.39405	0.01007
121	0.29618	0.03234	0.08501	-0.01407	0.39391	0.01031
122	0.29627	0.03244	0.08525	-0.01411	0.39385	0.01060
123	0.29638	0.03253	0.08546	-0.01430	0.39389	0.01070
124	0.29646	0.03259	0.08559	-0.01447	0.39401	0.01048
125	0.29635	0.03261	0.08568	-0.01457	0.39414	0.01012
126	0.29597	0.03263	0.08574	-0.01464	0.39416	0.00990
127	0.29553	0.03268	0.08571	-0.01469	0.39404	0.00995
128	0.29536	0.03271	0.08552	-0.01465	0.39395	0.01010
129	0.29552	0.03274	0.08533	-0.01440	0.39406	0.01014
130	0.29582	0.03277	0.08534	-0.01406	0.39428	0.01004
131	0.29607	0.03279	0.08557	-0.01401	0.39438	0.00995
132	0.29626	0.03286	0.08573	-0.01449	0.39425	0.01006
133	0.29642	0.03304	0.08557	-0.01523	0.39405	0.01024
134	0.29659	0.03331	0.08512	-0.01579	0.39396	0.01017
135	0.29675	0.03352	0.08466	-0.01600	0.39391	0.00985
136	0.29675	0.03354	0.08438	-0.01601	0.39376	0.00964
137	0.29654	0.03335	0.08434	-0.01599	0.39353	0.00974
138	0.29625	0.03304	0.08440	-0.01593	0.39329	0.00997
139	0.29600	0.03277	0.08446	-0.01576	0.39302	0.01009
140	0.29584	0.03265	0.08451	-0.01549	0.39278	0.01007
141	0.29579	0.03267	0.08461	-0.01522	0.39275	0.01008
142	0.29584	0.03277	0.08477	-0.01510	0.39303	0.01009
143	0.29600	0.03286	0.08490	-0.01519	0.39343	0.01002
144	0.29628	0.03291	0.08489	-0.01548	0.39367	0.00995
145	0.29661	0.03294	0.08469	-0.01576	0.39370	0.01007
146	0.29684	0.03298	0.08441	-0.01586	0.39358	0.01042
147	0.29688	0.03305	0.08421	-0.01585	0.39342	0.01072
148	0.29675	0.03312	0.08420	-0.01585	0.39331	0.01070
149	0.29657	0.03312	0.08440	-0.01584	0.39335	0.01039
150	0.29640	0.03304	0.08477	-0.01569	0.39350	0.01009
151	0.29622	0.03296	0.08520	-0.01543	0.39357	0.00998
152	0.29595	0.03297	0.08549	-0.01520	0.39346	0.01005
153	0.29560	0.03303	0.08546	-0.01515	0.39330	0.01017
154	0.29540	0.03304	0.08517	-0.01531	0.39324	0.01033
155	0.29552	0.03293	0.08483	-0.01550	0.39332	0.01046
156	0.29583	0.03275	0.08461	-0.01557	0.39341	0.01044
157	0.29607	0.03265	0.08460	-0.01551	0.39341	0.01023
158	0.29606	0.03267	0.08478	-0.01537	0.39335	0.00999
159	0.29586	0.03278	0.08503	-0.01509	0.39339	0.00995
160	0.29572	0.03292	0.08523	-0.01469	0.39355	0.01010
161	0.29576	0.03301	0.08527	-0.01443	0.39368	0.01026
162	0.29587	0.03302	0.08517	-0.01453	0.39370	0.01027
163	0.29580	0.03297	0.08503	-0.01480	0.39369	0.01019
164	0.29549	0.03298	0.08492	-0.01495	0.39372	0.01019
165	0.29517	0.03308	0.08484	-0.01491	0.39372	0.01034
166	0.29508	0.03320	0.08482	-0.01472	0.39368	0.01047
167	0.29524	0.03321	0.08489	-0.01444	0.39369	0.01042
168	0.29550	0.03311	0.08505	-0.01424	0.39375	0.01022
169	0.29570	0.03304	0.08521	-0.01435	0.39376	0.01007
170	0.29577	0.03308	0.08526	-0.01475	0.39366	0.01002
171	0.29568	0.03318	0.08524	-0.01501	0.39352	0.00996
172	0.29553	0.03322	0.08522	-0.01482	0.39346	0.00982
173	0.29551	0.03314	0.08514	-0.01445	0.39349	0.00968
174	0.29570	0.03301	0.08493	-0.01438	0.39350	0.00960
175	0.29594	0.03294	0.08469	-0.01469	0.39341	0.00956
176	0.29603	0.03296	0.08460	-0.01502	0.39323	0.00963
177	0.29599	0.03299	0.08464	-0.01508	0.39304	0.00986
178	0.29600	0.03299	0.08468	-0.01492	0.39291	0.01021
179	0.29619	0.03301	0.08462	-0.01494	0.39281	0.01052
180	0.29657	0.03310	0.08451	-0.01533	0.39274	0.01071
181	0.29694	0.03319	0.08443	-0.01575	0.39280	0.01077
182	0.29705	0.03321	0.08445	-0.01572	0.39306	0.01078
183	0.29685	0.03315	0.08458	-0.01528	0.39338	0.01083
184	0.29653	0.03304	0.08474	-0.01480	0.39358	0.01089
185	0.29635	0.03289	0.08486	-0.01449	0.39360	0.01081
186	0.29638	0.03274	0.08490	-0.01437	0.39350	0.01049
187	0.29646	0.03263	0.08491	-0.01434	0.39339	0.01008
188	0.29647	0.03260	0.08502	-0.01438	0.39334	0.00981
189	0.29644	0.03267	0.08528	-0.01458	0.39336	0.00987
190	0.29647	0.03276	0.08558	-0.01494	0.39346	0.01011
191	0.29662	0.03277	0.08574	-0.01527	0.39354	0.01023
192	0.29682	0.03274	0.08569	-0.01541	0.39357	0.01017
193	0.29693	0.03276	0.08557	-0.01533	0.39359	0.01005
194	0.29688	0.03283	0.08559	-0.01510	0.39367	0.01000
195	0.29677	0.03288	0.08569	-0.01482	0.39376	0.01006
196	0.29680	0.03283	0.08566	-0.01457	0.39384	0.01022
197	0.29704	0.03273	0.08548	-0.01437	0.39386	0.01041
198	0.29733	0.03264	0.08530	-0.01427	0.39380	0.01049
199	0.29746	0.03259	0.08518	-0.01433	0.39365	0.01036
200	0.29745	0.03255	0.08509	-0.01447	0.39347	0.01006
201	0.29740	0.03246	0.08500	-0.01457	0.39337	0.00980
202	0.29735	0.03232	0.08493	-0.01461	0.39337	0.00971
203	0.29727	0.03223	0.08483	-0.01468	0.39342	0.00981
204	0.29722	0.03226	0.08465	-0.01491	0.39343	0.01006
205	0.29717	0.03244	0.08444	-0.01519	0.39340	0.01041
206	0.29704	0.03274	0.08435	-0.01526	0.39336	0.01074
207	0.29683	0.03307	0.08446	-0.01503	0.39329	0.01087
208	0.29675	0.03330	0.08460	-0.01469	0.39318	0.01071
209	0.29698	0.03328	0.08462	-0.01452	0.39311	0.01037
210	0.29734	0.03302	0.08455	-0.01462	0.39316	0.01006
211	0.29755	0.03275	0.08456	-0.01489	0.39334	0.00990
212	0.29744	0.03270	0.08464	-0.01509	0.39355	0.00989
213	0.29715	0.03288	0.08470	-0.01512	0.39361	0.00990
214	0.29691	0.03307	0.08476	-0.01512	0.39343	0.00989
215	0.29677	0.03317	0.08490	-0.01512	0.39318	0.01000
216	0.29667	0.03325	0.08508	-0.01498	0.39314	0.01030
217	0.29664	0.03334	0.08516	-0.01481	0.39336	0.01061
218	0.29671	0.03346	0.08505	-0.01491	0.39362	0.01063
219	0.29677	0.03366	0.08485	-0.01520	0.39373	0.01028
220	0.29669	0.03393	0.08472	-0.01536	0.39378	0.00987
221	0.29652	0.03420	0.08475	-0.01530	0.39390	0.00978
222	0.29644	0.03434	0.08486	-0.01523	0.39412	0.01000
223	0.29656	0.03427	0.08498	-0.01529	0.39433	0.01018
224	0.29678	0.03404	0.08508	-0.01538	0.39449	0.01010
225	0.29682	0.03384	0.08511	-0.01541	0.39457	0.01002
226	0.29661	0.03380	0.08513	-0.01534	0.39454	0.01018
227	0.29632	0.03386	0.08520	-0.01520	0.39434	0.01046
228	0.29622	0.03389	0.08531	-0.01516	0.39397	0.01060
229	0.29647	0.03383	0.08540	-0.01538	0.39362	0.01054
230	0.29694	0.03376	0.08546	-0.01570	0.39350	0.01042
231	0.29741	0.03374	0.08553	-0.01588	0.39360	0.01028
232	0.29775	0.03372	0.08556	-0.01589	0.39369	0.01007
233	0.29791	0.03365	0.08547	-0.01587	0.39361	0.00988
234	0.29791	0.03352	0.08530	-0.01594	0.39345	0.00990
235	0.29779	0.03341	0.08518	-0.01610	0.39335	0.01018
236	0.29766	0.03337	0.08517	-0.01627	0.39333	0.01051
237	0.29759	0.03339	0.08525	-0.01631	0.39333	0.01064
238	0.29757	0.03345	0.08533	-0.01617	0.39332	0.01047
239	0.29762	0.03351	0.08535	-0.01598	0.39328	0.01003
240	0.29775	0.03356	0.08529	-0.01593	0.39320	0.00952
241	0.29790	0.03358	0.08517	-0.01599	0.39315	0.00920
242	0.29796	0.03356	0.08504	-0.01600	0.39321	0.00921
243	0.29789	0.03352	0.08498	-0.01590	0.39336	0.00952
244	0.29779	0.03352	0.08508	-0.01575	0.39347	0.00989
245	0.29781	0.03351	0.08536	-0.01556	0.39340	0.01006
246	0.29800	0.03345	0.08565	-0.01524	0.39316	0.00994
247	0.29827	0.03333	0.08579	-0.01491	0.39291	0.00963
248	0.29856	0.03319	0.08566	-0.01482	0.39280	0.00928
249	0.29880	0.03309	0.08532	-0.01498	0.39283	0.00900
250	0.29892	0.03300	0.08496	-0.01512	0.39284	0.00887
251	0.29883	0.03291	0.08476	-0.01514	0.39277	0.00898
252	0.29854	0.03283	0.08483	-0.01532	0.39277	0.00926
253	0.29824	0.03279	0.08508	-0.01584	0.39295	0.00952
254	0.29813	0.03278	0.08530	-0.01646	0.39320	0.00965
255	0.29827	0.03279	0.08534	-0.01681	0.39330	0.00967
256	0.29852	0.03282	0.08520	-0.01683	0.39320	0.00964
257	0.29866	0.03285	0.08501	-0.01667	0.39305	0.00954
258	0.29865	0.03290	0.08483	-0.01656	0.39302	0.00933
259	0.29859	0.03294	0.08464	-0.01661	0.39309	0.00909
260	0.29867	0.03301	0.08448	-0.01660	0.39320	0.00902
261	0.29895	0.03311	0.08444	-0.01637	0.39331	0.00925
262	0.29934	0.03311	0.08462	-0.01600	0.39330	0.00966
263	0.29954	0.03302	0.08497	-0.01571	0.39315	0.00992
264	0.29947	0.03297	0.08531	-0.01564	0.39296	0.00985
265	0.29931	0.03303	0.08550	-0.01570	0.39296	0.00959
266	0.29927	0.03307	0.08557	-0.01559	0.39321	0.00944
267	0.29934	0.03304	0.08559	-0.01521	0.39353	0.00952
268	0.29946	0.03301	0.08555	-0.01477	0.39365	0.00971
269	0.29964	0.03308	0.08543	-0.01445	0.39352	0.00983
270	0.29991	0.03319	0.08527	-0.01431	0.39333	0.00986
271	0.30018	0.03330	0.08514	-0.01435	0.39330	0.00985
272	0.30036	0.03338	0.08502	-0.01464	0.39338	0.00987
273	0.30033	0.03340	0.08487	-0.01521	0.39336	0.00995
274	0.30012	0.03329	0.08476	-0.01579	0.39315	0.01004
275	0.29992	0.03303	0.08481	-0.01607	0.39286	0.01013
276	0.29992	0.03272	0.08502	-0.01593	0.39276	0.01018
277	0.29998	0.03253	0.08521	-0.01558	0.39297	0.01015
278	0.29988	0.03252	0.08522	-0.01540	0.39339	0.01000
279	0.29965	0.03262	0.08507	-0.01557	0.39379	0.00974
280	0.29955	0.03273	0.08494	-0.01593	0.39406	0.00950
281	0.29965	0.03285	0.08493	-0.01615	0.39425	0.00944
282	0.29981	0.03299	0.08502	-0.01590	0.39440	0.00959
283	0.29990	0.03311	0.08515	-0.01511	0.39446	0.00981
284	0.29992	0.03319	0.08527	-0.01417	0.39437	0.00994
285	0.29986	0.03319	0.08538	-0.01367	0.39418	0.00997
286	0.29972	0.03307	0.08550	-0.01386	0.39396	0.00999
287	0.29959	0.03294	0.08564	-0.01434	0.39380	0.01008
288	0.29969	0.03294	0.08579	-0.01454	0.39377	0.01023
289	0.30014	0.03310	0.08593	-0.01439	0.39385	0.01044
290	0.30072	0.03339	0.08607	-0.01427	0.39399	0.01060
291	0.30106	0.03369	0.08617	-0.01441	0.39413	0.01056
292	0.30113	0.03390	0.08627	-0.01465	0.39423	0.01027
293	0.30122	0.03397	0.08641	-0.01478	0.39425	0.00986
294	0.30155	0.03393	0.08655	-0.01476	0.39415	0.00961
295	0.30196	0.03387	0.08667	-0.01460	0.39398	0.00969
296	0.30225	0.03391	0.08681	-0.01428	0.39384	0.01001
297	0.30241	0.03409	0.08705	-0.01386	0.39377	0.01030
298	0.30257	0.03426	0.08741	-0.01345	0.39374	0.01043
299	0.30284	0.03433	0.08784	-0.01313	0.39376	0.01045
300	0.30318	0.03433	0.08818	-0.01287	0.39390	0.01047
301	0.30348	0.03433	0.08842	-0.01256	0.39408	0.01050
302	0.30368	0.03430	0.08863	-0.01229	0.39411	0.01048
303	0.30396	0.03425	0.08890	-0.01229	0.39390	0.01035
304	0.30450	0.03429	0.08919	-0.01269	0.39366	0.01018
305	0.30519	0.03448	0.08935	-0.01334	0.39364	0.01013
306	0.30570	0.03469	0.08938	-0.01387	0.39394	0.01019
307	0.30582	0.03484	0.08943	-0.01401	0.39446	0.01018
308	0.30568	0.03497	0.08958	-0.01381	0.39491	0.00998
309	0.30549	0.03522	0.08977	-0.01356	0.39505	0.00968
310	0.30536	0.03555	0.08999	-0.01341	0.39486	0.00942
311	0.30533	0.03588	0.09033	-0.01339	0.39450	0.00935
312	0.30528	0.03616	0.09086	-0.01344	0.39419	0.00944
313	0.30504	0.03642	0.09160	-0.01338	0.39405	0.00952
314	0.30468	0.03665	0.09251	-0.01313	0.39410	0.00952
315	0.30443	0.03680	0.09340	-0.01279	0.39423	0.00947
316	0.30438	0.03695	0.09411	-0.01252	0.39433	0.00944
317	0.30429	0.03723	0.09462	-0.01236	0.39436	0.00941
318	0.30402	0.03759	0.09509	-0.01232	0.39439	0.00945
319	0.30377	0.03790	0.09564	-0.01238	0.39447	0.00970
320	0.30377	0.03810	0.09624	-0.01246	0.39457	0.01013
321	0.30393	0.03830	0.09680	-0.01240	0.39464	0.01054
322	0.30391	0.03859	0.09730	-0.01214	0.39466	0.01066
323	0.30354	0.03892	0.09774	-0.01181	0.39466	0.01044
324	0.30288	0.03924	0.09816	-0.01161	0.39466	0.01007
325	0.30219	0.03955	0.09865	-0.01166	0.39462	0.00980
326	0.30164	0.03983	0.09922	-0.01193	0.39457	0.00975
327	0.30118	0.04007	0.09970	-0.01221	0.39460	0.00978
328	0.30065	0.04026	0.09984	-0.01237	0.39477	0.00983
329	0.29998	0.04033	0.09952	-0.01240	0.39502	0.00997
330	0.29914	0.04029	0.09894	-0.01241	0.39521	0.01021
331	0.29811	0.04025	0.09833	-0.01263	0.39518	0.01043
332	0.29693	0.04025	0.09764	-0.01315	0.39495	0.01059
333	0.29569	0.04021	0.09669	-0.01369	0.39468	0.01070
334	0.29431	0.03999	0.09540	-0.01392	0.39453	0.01074
335	0.29265	0.03946	0.09389	-0.01390	0.39450	0.01065
336	0.29075	0.03858	0.09235	-0.01404	0.39440	0.01052
337	0.28882	0.03748	0.09086	-0.01452	0.39415	0.01050
338	0.28698	0.03629	0.08938	-0.01506	0.39388	0.01063
339	0.28516	0.03503	0.08787	-0.01534	0.39382	0.01091
340	0.28313	0.03371	0.08627	-0.01527	0.39405	0.01122
341	0.28074	0.03228	0.08461	-0.01503	0.39443	0.01130
342	0.27802	0.03064	0.08309	-0.01496	0.39477	0.01100
343	0.27517	0.02865	0.08186	-0.01520	0.39496	0.01048
344	0.27231	0.02630	0.08087	-0.01564	0.39503	0.01015
345	0.26935	0.02367	0.07999	-0.01611	0.39500	0.01025
346	0.26612	0.02087	0.07915	-0.01650	0.39485	0.01067
347	0.26258	0.01805	0.07825	-0.01666	0.39458	0.01110
348	0.25883	0.01549	0.07703	-0.01652	0.39438	0.01130
349	0.25504	0.01358	0.07504	-0.01615	0.39452	0.01127
350	0.25140	0.01261	0.07198	-0.01576	0.39508	0.01115
351	0.24820	0.01252	0.06800	-0.01550	0.39578	0.01105
352	0.24563	0.01291	0.06361	-0.01538	0.39612	0.01102
353	0.24358	0.01328	0.05928	-0.01543	0.39588	0.01110
354	0.24170	0.01329	0.05526	-0.01571	0.39528	0.01130
355	0.23979	0.01293	0.05157	-0.01612	0.39474	0.01153
356	0.23793	0.01248	0.04823	-0.01638	0.39450	0.01162
357	0.23642	0.01205	0.04528	-0.01636	0.39466	0.01150
358	0.23538	0.01156	0.04270	-0.01611	0.39510	0.01140
359	0.23463	0.01099	0.04037	-0.01570	0.39556	0.01166
360	0.23401	0.01041	0.03818	-0.01519	0.39586	0.01239
361	0.23356	0.00991	0.03618	-0.01461	0.39601	0.01337
362	0.23337	0.00950	0.03447	-0.01397	0.39614	0.01436
363	0.23337	0.00916	0.03311	-0.01332	0.39630	0.01543
364	0.23343	0.00891	0.03194	-0.01268	0.39643	0.01674
365	0.23350	0.00873	0.03070	-0.01226	0.39655	0.01827
366	0.23355	0.00861	0.02927	-0.01240	0.39680	0.01976
367	0.23349	0.00861	0.02775	-0.01329	0.39733	0.02117
368	0.23325	0.00873	0.02630	-0.01471	0.39805	0.02267
369	0.23296	0.00889	0.02495	-0.01622	0.39877	0.02442
370	0.23274	0.00897	0.02373	-0.01743	0.39934	0.02641
371	0.23269	0.00893	0.02270	-0.01827	0.39980	0.02869
372	0.23287	0.00882	0.02185	-0.01890	0.40027	0.03140
373	0.23325	0.00880	0.02106	-0.01960	0.40084	0.03456
374	0.23365	0.00897	0.02021	-0.02066	0.40145	0.03797
375	0.23394	0.00914	0.01934	-0.02213	0.40198	0.04144
376	0.23417	0.00903	0.01859	-0.02370	0.40245	0.04510
377	0.23446	0.00841	0.01795	-0.02513	0.40305	0.04910
378	0.23485	0.00733	0.01728	-0.02660	0.40384	0.05333
379	0.23529	0.00609	0.01649	-0.02850	0.40469	0.05749
380	0.23573	0.00505	0.01560	-0.03083	0.40546	0.06140
381	0.23610	0.00435	0.01466	-0.03304	0.40614	0.06519
382	0.23645	0.00380	0.01366	-0.03461	0.40673	0.06902
383	0.23677	0.00310	0.01250	-0.03561	0.40728	0.07287
384	0.23692	0.00223	0.01120	-0.03659	0.40790	0.07654
385	0.23677	0.00138	0.00997	-0.03782	0.40865	0.07978
386	0.23639	0.00084	0.00901	-0.03914	0.40943	0.08234
387	0.23603	0.00074	0.00832	-0.04041	0.41007	0.08421
388	0.23594	0.00095	0.00775	-0.04162	0.41037	0.08560
389	0.23619	0.00115	0.00719	-0.04255	0.41025	0.08671
390	0.23660	0.00113	0.00663	-0.04284	0.40983	0.08756
391	0.23695	0.00088	0.00615	-0.04225	0.40924	0.08829
392	0.23719	0.00051	0.00587	-0.04074	0.40866	0.08905
393	0.23735	0.00014	0.00589	-0.03837	0.40831	0.08967
394	0.23744	-0.00007	0.00612	-0.03531	0.40826	0.08961
395	0.23743	0.00003	0.00634	-0.03190	0.40841	0.08845
396	0.23734	0.00042	0.00640	-0.02833	0.40861	0.08642
397	0.23714	0.00087	0.00637	-0.02473	0.40880	0.08427
398	0.23684	0.00120	0.00632	-0.02142	0.40895	0.08255
399	0.23658	0.00138	0.00621	-0.01881	0.40881	0.08128
400	0.23654	0.00145	0.00607	-0.01686	0.40807	0.08020
401	0.23674	0.00149	0.00601	-0.01523	0.40690	0.07911
