	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\E3_finishedFinal\CutUpperE3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
115	0.22133	0.03141	0.00931	-0.03112	0.47325	0.08177
116	0.22156	0.03147	0.00951	-0.03257	0.47616	0.07864
117	0.22175	0.03146	0.00949	-0.03384	0.47825	0.07572
118	0.22171	0.03150	0.00933	-0.03505	0.47939	0.07302
119	0.22148	0.03168	0.00915	-0.03650	0.47964	0.07048
120	0.22119	0.03193	0.00901	-0.03829	0.47921	0.06794
121	0.22098	0.03216	0.00889	-0.04023	0.47833	0.06511
122	0.22085	0.03231	0.00885	-0.04188	0.47710	0.06180
123	0.22068	0.03242	0.00893	-0.04284	0.47555	0.05817
124	0.22036	0.03256	0.00916	-0.04328	0.47380	0.05472
125	0.21989	0.03274	0.00950	-0.04371	0.47210	0.05175
126	0.21939	0.03294	0.00989	-0.04431	0.47068	0.04919
127	0.21894	0.03314	0.01031	-0.04470	0.46974	0.04671
128	0.21851	0.03339	0.01071	-0.04433	0.46952	0.04405
129	0.21801	0.03379	0.01097	-0.04309	0.47023	0.04103
130	0.21739	0.03431	0.01107	-0.04125	0.47179	0.03770
131	0.21680	0.03481	0.01114	-0.03923	0.47376	0.03438
132	0.21634	0.03529	0.01132	-0.03724	0.47547	0.03150
133	0.21597	0.03585	0.01162	-0.03527	0.47645	0.02914
134	0.21552	0.03649	0.01201	-0.03327	0.47671	0.02694
135	0.21498	0.03717	0.01253	-0.03132	0.47657	0.02454
136	0.21462	0.03783	0.01334	-0.02957	0.47635	0.02183
137	0.21462	0.03837	0.01455	-0.02820	0.47621	0.01901
138	0.21486	0.03872	0.01605	-0.02738	0.47614	0.01641
139	0.21513	0.03890	0.01752	-0.02730	0.47604	0.01439
140	0.21560	0.03894	0.01872	-0.02778	0.47585	0.01305
141	0.21666	0.03887	0.01970	-0.02831	0.47558	0.01216
142	0.21840	0.03864	0.02092	-0.02853	0.47526	0.01141
143	0.22048	0.03810	0.02288	-0.02862	0.47491	0.01092
144	0.22268	0.03726	0.02569	-0.02897	0.47453	0.01100
145	0.22503	0.03632	0.02896	-0.02965	0.47418	0.01176
146	0.22764	0.03546	0.03219	-0.03034	0.47403	0.01287
147	0.23047	0.03471	0.03524	-0.03072	0.47414	0.01388
148	0.23328	0.03407	0.03830	-0.03073	0.47442	0.01463
149	0.23581	0.03377	0.04153	-0.03055	0.47461	0.01539
150	0.23794	0.03402	0.04479	-0.03029	0.47453	0.01641
151	0.23984	0.03473	0.04783	-0.02976	0.47420	0.01760
152	0.24163	0.03559	0.05050	-0.02882	0.47390	0.01865
153	0.24322	0.03635	0.05291	-0.02746	0.47383	0.01936
154	0.24453	0.03706	0.05527	-0.02586	0.47389	0.01971
155	0.24560	0.03782	0.05767	-0.02441	0.47371	0.01988
156	0.24659	0.03861	0.06005	-0.02336	0.47318	0.01998
157	0.24750	0.03935	0.06235	-0.02272	0.47253	0.02000
158	0.24832	0.04011	0.06447	-0.02242	0.47203	0.01988
159	0.24905	0.04110	0.06635	-0.02254	0.47168	0.01968
160	0.24973	0.04237	0.06801	-0.02315	0.47128	0.01957
161	0.25033	0.04365	0.06961	-0.02418	0.47074	0.01965
162	0.25090	0.04460	0.07138	-0.02535	0.47019	0.01980
163	0.25159	0.04518	0.07347	-0.02638	0.46989	0.01983
164	0.25248	0.04567	0.07589	-0.02722	0.46994	0.01964
165	0.25348	0.04632	0.07848	-0.02796	0.47023	0.01922
