	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
21	0.33724	0.17626	0.00718	0.24087	0.67917	0.01099	0.29087	0.16152	0.01296	0.21675	0.63670	0.01488	0.30492	0.14095	0.02030	0.20040	0.65368	0.02287	0.12155	0.08330	0.02100	0.10415	0.48218	0.01237
22	0.33723	0.17605	0.00723	0.24067	0.67909	0.01142	0.29079	0.16134	0.01249	0.21654	0.63655	0.01449	0.30485	0.14074	0.01972	0.20024	0.65355	0.02253	0.12143	0.08328	0.02122	0.10389	0.48206	0.01265
23	0.33732	0.17575	0.00715	0.24044	0.67915	0.01156	0.29083	0.16114	0.01231	0.21633	0.63660	0.01464	0.30487	0.14049	0.01943	0.20000	0.65358	0.02266	0.12131	0.08348	0.02146	0.10379	0.48203	0.01259
24	0.33745	0.17565	0.00699	0.24030	0.67935	0.01150	0.29100	0.16111	0.01265	0.21624	0.63685	0.01548	0.30501	0.14040	0.01966	0.19982	0.65380	0.02339	0.12134	0.08374	0.02168	0.10395	0.48211	0.01237
25	0.33749	0.17588	0.00686	0.24034	0.67949	0.01145	0.29115	0.16130	0.01322	0.21630	0.63710	0.01655	0.30516	0.14057	0.02017	0.19981	0.65402	0.02437	0.12150	0.08384	0.02190	0.10419	0.48227	0.01227
26	0.33744	0.17624	0.00679	0.24049	0.67946	0.01147	0.29120	0.16157	0.01365	0.21643	0.63718	0.01737	0.30524	0.14086	0.02060	0.19991	0.65408	0.02518	0.12168	0.08382	0.02211	0.10429	0.48239	0.01235
27	0.33743	0.17648	0.00674	0.24058	0.67927	0.01151	0.29122	0.16178	0.01379	0.21649	0.63707	0.01783	0.30527	0.14110	0.02080	0.19999	0.65397	0.02569	0.12177	0.08389	0.02225	0.10423	0.48238	0.01250
28	0.33746	0.17649	0.00672	0.24057	0.67899	0.01158	0.29123	0.16185	0.01369	0.21645	0.63682	0.01794	0.30526	0.14119	0.02082	0.20000	0.65372	0.02588	0.12173	0.08407	0.02233	0.10399	0.48227	0.01262
29	0.33748	0.17633	0.00679	0.24056	0.67870	0.01169	0.29118	0.16177	0.01354	0.21639	0.63651	0.01776	0.30519	0.14113	0.02078	0.19999	0.65343	0.02576	0.12161	0.08418	0.02236	0.10368	0.48213	0.01271
30	0.33741	0.17612	0.00693	0.24062	0.67840	0.01180	0.29108	0.16158	0.01350	0.21640	0.63619	0.01748	0.30508	0.14097	0.02082	0.20002	0.65314	0.02548	0.12147	0.08407	0.02240	0.10350	0.48194	0.01283
31	0.33728	0.17589	0.00703	0.24068	0.67808	0.01186	0.29095	0.16134	0.01357	0.21644	0.63585	0.01730	0.30495	0.14073	0.02089	0.20006	0.65283	0.02521	0.12137	0.08377	0.02247	0.10352	0.48160	0.01302
32	0.33719	0.17565	0.00705	0.24071	0.67778	0.01192	0.29086	0.16107	0.01358	0.21646	0.63553	0.01729	0.30488	0.14047	0.02089	0.20005	0.65254	0.02510	0.12132	0.08345	0.02258	0.10364	0.48121	0.01323
33	0.33719	0.17540	0.00700	0.24073	0.67761	0.01210	0.29085	0.16085	0.01350	0.21648	0.63537	0.01744	0.30487	0.14024	0.02082	0.20005	0.65238	0.02520	0.12130	0.08326	0.02267	0.10368	0.48103	0.01333
34	0.33721	0.17524	0.00696	0.24080	0.67765	0.01241	0.29084	0.16072	0.01334	0.21651	0.63542	0.01760	0.30485	0.14014	0.02073	0.20010	0.65243	0.02538	0.12125	0.08324	0.02272	0.10356	0.48119	0.01330
35	0.33719	0.17521	0.00700	0.24087	0.67786	0.01270	0.29078	0.16072	0.01314	0.21653	0.63561	0.01758	0.30478	0.14016	0.02061	0.20017	0.65263	0.02546	0.12117	0.08331	0.02274	0.10333	0.48157	0.01321
36	0.33716	0.17527	0.00710	0.24091	0.67808	0.01279	0.29072	0.16079	0.01297	0.21655	0.63581	0.01731	0.30472	0.14025	0.02048	0.20025	0.65281	0.02534	0.12110	0.08341	0.02274	0.10319	0.48188	0.01312
37	0.33717	0.17529	0.00720	0.24098	0.67823	0.01267	0.29071	0.16082	0.01294	0.21664	0.63591	0.01687	0.30471	0.14026	0.02042	0.20039	0.65290	0.02505	0.12107	0.08350	0.02275	0.10321	0.48203	0.01295
38	0.33720	0.17517	0.00731	0.24115	0.67832	0.01239	0.29074	0.16073	0.01311	0.21681	0.63598	0.01636	0.30472	0.14013	0.02049	0.20061	0.65295	0.02465	0.12103	0.08354	0.02275	0.10334	0.48213	0.01268
39	0.33721	0.17494	0.00743	0.24144	0.67839	0.01197	0.29076	0.16054	0.01343	0.21708	0.63606	0.01589	0.30471	0.13987	0.02067	0.20089	0.65305	0.02417	0.12092	0.08361	0.02273	0.10350	0.48227	0.01233
40	0.33727	0.17467	0.00761	0.24177	0.67841	0.01145	0.29082	0.16036	0.01378	0.21736	0.63612	0.01553	0.30472	0.13958	0.02085	0.20115	0.65315	0.02367	0.12077	0.08381	0.02258	0.10370	0.48240	0.01201
41	0.33746	0.17447	0.00782	0.24203	0.67836	0.01098	0.29098	0.16024	0.01404	0.21759	0.63612	0.01533	0.30481	0.13940	0.02102	0.20133	0.65319	0.02330	0.12072	0.08411	0.02219	0.10392	0.48241	0.01181
42	0.33773	0.17439	0.00794	0.24216	0.67837	0.01077	0.29124	0.16020	0.01415	0.21774	0.63614	0.01538	0.30502	0.13935	0.02118	0.20145	0.65321	0.02328	0.12087	0.08422	0.02163	0.10416	0.48236	0.01167
43	0.33793	0.17436	0.00783	0.24220	0.67853	0.01084	0.29145	0.16017	0.01408	0.21783	0.63630	0.01566	0.30523	0.13936	0.02128	0.20151	0.65333	0.02362	0.12113	0.08405	0.02118	0.10444	0.48239	0.01153
44	0.33796	0.17427	0.00756	0.24216	0.67873	0.01099	0.29150	0.16006	0.01392	0.21785	0.63648	0.01593	0.30528	0.13930	0.02124	0.20151	0.65347	0.02391	0.12125	0.08380	0.02110	0.10468	0.48242	0.01141
