	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
172	8.40214	-48.37785	277.48016	-8.06768	57.59417	360.20676
173	8.40013	-48.36609	277.44980	-8.06354	57.63567	360.33313
174	8.39809	-48.35426	277.41943	-8.05928	57.67683	360.45761
175	8.39601	-48.34234	277.38907	-8.05491	57.71767	360.58020
176	8.39391	-48.33036	277.35873	-8.05044	57.75817	360.70087
177	8.39177	-48.31831	277.32843	-8.04587	57.79834	360.81964
178	8.38960	-48.30623	277.29816	-8.04121	57.83817	360.93649
179	8.38739	-48.29409	277.26794	-8.03647	57.87765	361.05136
180	8.38516	-48.28193	277.23779	-8.03167	57.91679	361.16434
181	8.38289	-48.26973	277.20770	-8.02679	57.95559	361.27539
182	8.38059	-48.25751	277.17770	-8.02186	57.99404	361.38446
183	8.37826	-48.24528	277.14777	-8.01688	58.03214	361.49164
184	8.37590	-48.23306	277.11795	-8.01185	58.06991	361.59683
185	8.37352	-48.22085	277.08826	-8.00678	58.10733	361.70016
186	8.37110	-48.20865	277.05869	-8.00167	58.14441	361.80151
187	8.36865	-48.19649	277.02924	-7.99653	58.18116	361.90097
188	8.36618	-48.18437	276.99994	-7.99137	58.21757	361.99854
189	8.36368	-48.17230	276.97079	-7.98618	58.25365	362.09421
190	8.36115	-48.16030	276.94183	-7.98098	58.28939	362.18802
191	8.35860	-48.14837	276.91309	-7.97577	58.32481	362.27997
192	8.35603	-48.13651	276.88449	-7.97055	58.35990	362.37003
193	8.35344	-48.12476	276.85611	-7.96532	58.39468	362.45831
194	8.35083	-48.11311	276.82797	-7.96010	58.42913	362.54474
195	8.34821	-48.10157	276.80005	-7.95487	58.46328	362.62949
196	8.34559	-48.09016	276.77240	-7.94965	58.49712	362.71249
197	8.34295	-48.07889	276.74506	-7.94444	58.53066	362.79382
198	8.34032	-48.06777	276.71799	-7.93923	58.56390	362.87341
199	8.33769	-48.05681	276.69119	-7.93404	58.59686	362.95142
200	8.33506	-48.04602	276.66473	-7.92886	58.62952	363.02777
201	8.33245	-48.03541	276.63858	-7.92371	58.66190	363.10260
202	8.32983	-48.02499	276.61279	-7.91858	58.69401	363.17584
203	8.32723	-48.01477	276.58737	-7.91348	58.72585	363.24759
204	8.32464	-48.00475	276.56229	-7.90842	58.75743	363.31784
205	8.32205	-47.99495	276.53763	-7.90339	58.78876	363.38666
206	8.31948	-47.98537	276.51337	-7.89842	58.81984	363.45401
207	8.31692	-47.97602	276.48953	-7.89349	58.85067	363.52002
208	8.31437	-47.96691	276.46609	-7.88862	58.88127	363.58463
209	8.31184	-47.95806	276.44312	-7.88381	58.91163	363.64792
210	8.30931	-47.94946	276.42062	-7.87907	58.94178	363.70990
211	8.30680	-47.94112	276.39856	-7.87440	58.97171	363.77057
212	8.30429	-47.93305	276.37701	-7.86980	59.00141	363.82999
213	8.30178	-47.92526	276.35596	-7.86529	59.03091	363.88812
214	8.29927	-47.91776	276.33545	-7.86086	59.06021	363.94501
215	8.29676	-47.91055	276.31543	-7.85652	59.08932	364.00067
216	8.29424	-47.90363	276.29599	-7.85227	59.11824	364.05515
217	8.29172	-47.89702	276.27710	-7.84813	59.14698	364.10840
218	8.28918	-47.89072	276.25879	-7.84409	59.17553	364.16049
219	8.28663	-47.88474	276.24103	-7.84016	59.20391	364.21143
220	8.28406	-47.87908	276.22388	-7.83634	59.23211	364.26114
221	8.28148	-47.87373	276.20734	-7.83264	59.26014	364.30966
222	8.27888	-47.86871	276.19141	-7.82907	59.28801	364.35709
223	8.27625	-47.86401	276.17606	-7.82562	59.31570	364.40329
224	8.27361	-47.85964	276.16138	-7.82230	59.34325	364.44830
225	8.27093	-47.85560	276.14734	-7.81913	59.37062	364.49216
226	8.26824	-47.85189	276.13394	-7.81609	59.39784	364.53485
227	8.26551	-47.84851	276.12119	-7.81320	59.42491	364.57635
228	8.26275	-47.84547	276.10913	-7.81046	59.45182	364.61667
229	8.25998	-47.84277	276.09769	-7.80787	59.47858	364.65576
230	8.25718	-47.84039	276.08698	-7.80543	59.50518	364.69363
231	8.25436	-47.83835	276.07693	-7.80316	59.53164	364.73032
232	8.25152	-47.83664	276.06760	-7.80104	59.55794	364.76572
233	8.24867	-47.83526	276.05896	-7.79909	59.58410	364.79984
234	8.24580	-47.83421	276.05103	-7.79730	59.61010	364.83267
235	8.24293	-47.83350	276.04382	-7.79568	59.63596	364.86420
236	8.24005	-47.83311	276.03735	-7.79423	59.66167	364.89444
237	8.23716	-47.83305	276.03159	-7.79296	59.68723	364.92331
238	8.23428	-47.83332	276.02655	-7.79185	59.71264	364.95084
239	8.23141	-47.83390	276.02228	-7.79092	59.73787	364.97699
240	8.22856	-47.83482	276.01877	-7.79016	59.76295	365.00174
241	8.22572	-47.83606	276.01596	-7.78957	59.78786	365.02499
242	8.22291	-47.83762	276.01398	-7.78916	59.81258	365.04684
243	8.22013	-47.83950	276.01266	-7.78891	59.83713	365.06723
244	8.21738	-47.84171	276.01218	-7.78884	59.86150	365.08609
245	8.21468	-47.84422	276.01242	-7.78893	59.88567	365.10345
246	8.21202	-47.84705	276.01346	-7.78920	59.90964	365.11923
247	8.20942	-47.85020	276.01523	-7.78964	59.93341	365.13348
248	8.20686	-47.85365	276.01782	-7.79026	59.95696	365.14615
249	8.20436	-47.85741	276.02115	-7.79104	59.98027	365.15726
250	8.20192	-47.86147	276.02521	-7.79200	60.00336	365.16675
251	8.19954	-47.86583	276.03006	-7.79314	60.02619	365.17462
252	8.19722	-47.87049	276.03564	-7.79444	60.04877	365.18085
253	8.19498	-47.87544	276.04199	-7.79593	60.07108	365.18546
254	8.19280	-47.88068	276.04910	-7.79759	60.09312	365.18839
255	8.19071	-47.88621	276.05692	-7.79942	60.11487	365.18967
256	8.18868	-47.89202	276.06552	-7.80145	60.13633	365.18927
257	8.18674	-47.89811	276.07486	-7.80365	60.15749	365.18719
258	8.18487	-47.90448	276.08493	-7.80605	60.17834	365.18344
259	8.18308	-47.91111	276.09573	-7.80865	60.19888	365.17798
260	8.18137	-47.91801	276.10727	-7.81144	60.21908	365.17087
261	8.17975	-47.92517	276.11957	-7.81444	60.23896	365.16208
262	8.17820	-47.93260	276.13257	-7.81764	60.25850	365.15155
263	8.17675	-47.94027	276.14630	-7.82105	60.27769	365.13934
264	8.17538	-47.94819	276.16074	-7.82468	60.29652	365.12543
265	8.17409	-47.95636	276.17587	-7.82852	60.31499	365.10986
266	8.17289	-47.96477	276.19171	-7.83258	60.33310	365.09256
267	8.17178	-47.97341	276.20828	-7.83687	60.35081	365.07361
268	8.17076	-47.98227	276.22549	-7.84139	60.36815	365.05295
269	8.16982	-47.99136	276.24344	-7.84613	60.38509	365.03064
270	8.16897	-48.00067	276.26205	-7.85111	60.40163	365.00665
271	8.16821	-48.01019	276.28131	-7.85632	60.41777	364.98099
272	8.16754	-48.01991	276.30124	-7.86178	60.43349	364.95367
273	8.16696	-48.02984	276.32184	-7.86748	60.44879	364.92471
274	8.16646	-48.03996	276.34305	-7.87342	60.46367	364.89407
275	8.16605	-48.05025	276.36490	-7.87960	60.47811	364.86185
276	8.16573	-48.06073	276.38736	-7.88603	60.49213	364.82797
277	8.16549	-48.07137	276.41046	-7.89271	60.50570	364.79251
278	8.16533	-48.08217	276.43411	-7.89964	60.51882	364.75540
279	8.16526	-48.09312	276.45837	-7.90682	60.53150	364.71677
280	8.16526	-48.10421	276.48318	-7.91425	60.54372	364.67657
281	8.16535	-48.11544	276.50858	-7.92194	60.55549	364.63480
282	8.16551	-48.12680	276.53448	-7.92987	60.56679	364.59146
283	8.16576	-48.13828	276.56094	-7.93805	60.57763	364.54657
284	8.16607	-48.14987	276.58786	-7.94646	60.58800	364.50012
285	8.16646	-48.16156	276.61533	-7.95511	60.59790	364.45212
286	8.16693	-48.17336	276.64325	-7.96398	60.60733	364.40256
287	8.16746	-48.18524	276.67166	-7.97307	60.61629	364.35144
288	8.16807	-48.19719	276.70050	-7.98238	60.62476	364.29877
289	8.16874	-48.20923	276.72980	-7.99190	60.63275	364.24454
290	8.16948	-48.22133	276.75949	-8.00163	60.64026	364.18875
291	8.17028	-48.23349	276.78958	-8.01154	60.64728	364.13138
292	8.17114	-48.24570	276.82007	-8.02165	60.65381	364.07248
293	8.17205	-48.25796	276.85092	-8.03193	60.65984	364.01193
294	8.17301	-48.27025	276.88211	-8.04237	60.66539	363.94980
295	8.17402	-48.28258	276.91357	-8.05297	60.67042	363.88602
