	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
20	0.29644	0.12726	0.00533	0.19564	0.66834	0.00428	0.25136	0.12177	0.01076	0.16784	0.63230	0.00886	0.26129	0.09386	0.01594	0.15867	0.64573	0.01601	0.09213	0.07438	0.00617	0.05028	0.50570	0.00561
21	0.29653	0.12742	0.00525	0.19558	0.66848	0.00416	0.25147	0.12191	0.01082	0.16782	0.63241	0.00872	0.26140	0.09402	0.01605	0.15864	0.64583	0.01588	0.09227	0.07443	0.00601	0.05036	0.50570	0.00566
22	0.29652	0.12752	0.00528	0.19552	0.66870	0.00415	0.25143	0.12201	0.01070	0.16779	0.63260	0.00860	0.26138	0.09414	0.01604	0.15863	0.64601	0.01580	0.09226	0.07446	0.00596	0.05042	0.50580	0.00585
23	0.29646	0.12751	0.00536	0.19556	0.66879	0.00425	0.25135	0.12203	0.01055	0.16781	0.63268	0.00859	0.26129	0.09419	0.01601	0.15869	0.64608	0.01585	0.09216	0.07447	0.00604	0.05034	0.50598	0.00600
24	0.29642	0.12745	0.00542	0.19569	0.66868	0.00436	0.25129	0.12201	0.01049	0.16789	0.63262	0.00863	0.26122	0.09418	0.01601	0.15880	0.64601	0.01595	0.09209	0.07450	0.00618	0.05018	0.50613	0.00601
25	0.29639	0.12744	0.00541	0.19576	0.66855	0.00435	0.25126	0.12201	0.01053	0.16793	0.63250	0.00861	0.26119	0.09418	0.01606	0.15887	0.64590	0.01596	0.09205	0.07453	0.00627	0.05010	0.50613	0.00589
26	0.29635	0.12754	0.00530	0.19569	0.66856	0.00418	0.25125	0.12209	0.01067	0.16790	0.63249	0.00855	0.26118	0.09424	0.01617	0.15881	0.64588	0.01587	0.09205	0.07458	0.00620	0.05021	0.50599	0.00574
27	0.29630	0.12767	0.00515	0.19558	0.66871	0.00397	0.25124	0.12220	0.01081	0.16787	0.63260	0.00852	0.26117	0.09435	0.01629	0.15873	0.64599	0.01577	0.09206	0.07468	0.00599	0.05047	0.50584	0.00559
28	0.29628	0.12771	0.00508	0.19561	0.66884	0.00390	0.25122	0.12226	0.01082	0.16793	0.63272	0.00849	0.26112	0.09440	0.01629	0.15874	0.64612	0.01567	0.09201	0.07486	0.00578	0.05069	0.50581	0.00555
29	0.29630	0.12758	0.00517	0.19580	0.66881	0.00402	0.25122	0.12220	0.01071	0.16806	0.63272	0.00844	0.26108	0.09432	0.01613	0.15889	0.64613	0.01560	0.09193	0.07505	0.00575	0.05068	0.50593	0.00565
