	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
20	0.28092	0.19941	0.00465	0.11428	0.70156	0.00309	0.24525	0.16665	0.00778	0.10629	0.65373	0.00510	0.27331	0.14706	0.01265	0.08710	0.66267	0.00941	0.13494	0.02002	0.02219	0.05600	0.47347	0.01254
21	0.28087	0.19921	0.00460	0.11396	0.70149	0.00316	0.24521	0.16646	0.00786	0.10610	0.65363	0.00508	0.27326	0.14688	0.01278	0.08689	0.66253	0.00939	0.13489	0.01984	0.02229	0.05627	0.47324	0.01256
22	0.28093	0.19910	0.00440	0.11355	0.70155	0.00326	0.24525	0.16636	0.00768	0.10582	0.65366	0.00495	0.27330	0.14678	0.01263	0.08662	0.66252	0.00940	0.13488	0.01980	0.02229	0.05641	0.47317	0.01254
23	0.28111	0.19914	0.00410	0.11332	0.70173	0.00333	0.24540	0.16642	0.00737	0.10566	0.65383	0.00492	0.27343	0.14683	0.01234	0.08647	0.66266	0.00949	0.13494	0.01995	0.02212	0.05648	0.47327	0.01251
24	0.28132	0.19930	0.00384	0.11335	0.70194	0.00332	0.24560	0.16661	0.00714	0.10567	0.65404	0.00507	0.27362	0.14700	0.01214	0.08648	0.66287	0.00963	0.13505	0.02020	0.02191	0.05649	0.47348	0.01252
25	0.28146	0.19947	0.00370	0.11344	0.70206	0.00326	0.24575	0.16677	0.00706	0.10569	0.65419	0.00528	0.27377	0.14718	0.01209	0.08648	0.66304	0.00974	0.13522	0.02035	0.02184	0.05629	0.47368	0.01263
26	0.28146	0.19957	0.00374	0.11343	0.70209	0.00317	0.24578	0.16683	0.00711	0.10560	0.65424	0.00536	0.27382	0.14727	0.01216	0.08639	0.66311	0.00973	0.13540	0.02030	0.02190	0.05600	0.47379	0.01276
27	0.28136	0.19959	0.00395	0.11332	0.70203	0.00307	0.24571	0.16681	0.00725	0.10550	0.65418	0.00530	0.27377	0.14729	0.01233	0.08627	0.66305	0.00960	0.13549	0.02016	0.02196	0.05594	0.47373	0.01281
28	0.28124	0.19958	0.00424	0.11322	0.70187	0.00296	0.24560	0.16679	0.00744	0.10547	0.65401	0.00515	0.27366	0.14727	0.01256	0.08623	0.66286	0.00941	0.13541	0.02009	0.02195	0.05613	0.47350	0.01282
29	0.28117	0.19960	0.00447	0.11314	0.70165	0.00287	0.24551	0.16682	0.00754	0.10545	0.65377	0.00499	0.27354	0.14729	0.01272	0.08620	0.66261	0.00928	0.13522	0.02018	0.02196	0.05630	0.47322	0.01288
30	0.28115	0.19965	0.00455	0.11301	0.70150	0.00289	0.24545	0.16690	0.00752	0.10536	0.65361	0.00496	0.27348	0.14736	0.01272	0.08613	0.66243	0.00933	0.13506	0.02035	0.02205	0.05635	0.47302	0.01297
31	0.28115	0.19975	0.00454	0.11286	0.70148	0.00305	0.24544	0.16701	0.00743	0.10524	0.65358	0.00506	0.27346	0.14746	0.01261	0.08603	0.66239	0.00955	0.13500	0.02052	0.02210	0.05633	0.47297	0.01300
32	0.28120	0.19985	0.00458	0.11274	0.70154	0.00325	0.24547	0.16712	0.00740	0.10515	0.65364	0.00517	0.27349	0.14754	0.01248	0.08594	0.66243	0.00974	0.13498	0.02065	0.02205	0.05632	0.47299	0.01291
