	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
175	0.13733	0.01967	0.01128	0.05888	0.47180	0.00632
176	0.13731	0.01964	0.01135	0.05915	0.47189	0.00638
177	0.13729	0.01962	0.01146	0.05939	0.47192	0.00657
178	0.13724	0.01963	0.01152	0.05954	0.47190	0.00681
179	0.13719	0.01965	0.01142	0.05961	0.47187	0.00697
180	0.13727	0.01966	0.01120	0.05953	0.47187	0.00697
181	0.13755	0.01962	0.01102	0.05928	0.47189	0.00681
182	0.13795	0.01958	0.01102	0.05900	0.47189	0.00661
183	0.13828	0.01959	0.01113	0.05878	0.47187	0.00655
184	0.13843	0.01968	0.01116	0.05853	0.47181	0.00665
185	0.13847	0.01976	0.01096	0.05825	0.47176	0.00676
186	0.13860	0.01973	0.01062	0.05817	0.47176	0.00671
187	0.13884	0.01959	0.01041	0.05842	0.47181	0.00656
188	0.13901	0.01941	0.01050	0.05880	0.47185	0.00649
189	0.13900	0.01922	0.01074	0.05907	0.47180	0.00656
190	0.13891	0.01898	0.01084	0.05927	0.47167	0.00668
191	0.13892	0.01865	0.01077	0.05956	0.47148	0.00674
192	0.13913	0.01825	0.01076	0.05988	0.47135	0.00673
193	0.13949	0.01785	0.01092	0.06001	0.47135	0.00674
194	0.13984	0.01754	0.01110	0.05987	0.47145	0.00684
195	0.14007	0.01740	0.01111	0.05966	0.47154	0.00691
196	0.14021	0.01746	0.01095	0.05957	0.47154	0.00682
197	0.14034	0.01762	0.01081	0.05966	0.47145	0.00664
198	0.14049	0.01777	0.01077	0.05987	0.47128	0.00657
199	0.14062	0.01785	0.01074	0.06009	0.47108	0.00669
200	0.14072	0.01789	0.01063	0.06019	0.47088	0.00692
201	0.14079	0.01800	0.01053	0.06012	0.47075	0.00711
202	0.14084	0.01820	0.01053	0.06002	0.47073	0.00720
203	0.14081	0.01837	0.01063	0.06001	0.47082	0.00724
204	0.14069	0.01846	0.01077	0.06012	0.47095	0.00730
205	0.14057	0.01851	0.01089	0.06030	0.47103	0.00736
206	0.14055	0.01854	0.01098	0.06050	0.47100	0.00733
207	0.14064	0.01848	0.01105	0.06066	0.47088	0.00725
208	0.14072	0.01829	0.01118	0.06073	0.47072	0.00733
209	0.14074	0.01813	0.01137	0.06076	0.47053	0.00764
210	0.14068	0.01817	0.01151	0.06077	0.47032	0.00805
211	0.14061	0.01837	0.01151	0.06065	0.47019	0.00832
212	0.14057	0.01861	0.01140	0.06044	0.47017	0.00837
213	0.14056	0.01875	0.01126	0.06037	0.47026	0.00825
214	0.14050	0.01875	0.01115	0.06049	0.47035	0.00804
215	0.14040	0.01865	0.01108	0.06064	0.47038	0.00783
216	0.14033	0.01854	0.01102	0.06073	0.47034	0.00770
217	0.14032	0.01844	0.01101	0.06073	0.47029	0.00772
218	0.14035	0.01833	0.01106	0.06057	0.47034	0.00789
219	0.14033	0.01820	0.01116	0.06016	0.47053	0.00809
220	0.14022	0.01814	0.01126	0.05972	0.47069	0.00822
221	0.14012	0.01824	0.01125	0.05963	0.47065	0.00827
222	0.14012	0.01849	0.01106	0.05990	0.47050	0.00825
223	0.14022	0.01874	0.01079	0.06007	0.47044	0.00825
224	0.14034	0.01887	0.01061	0.05992	0.47052	0.00826
225	0.14041	0.01897	0.01054	0.05969	0.47058	0.00826
226	0.14040	0.01906	0.01049	0.05956	0.47056	0.00825
227	0.14034	0.01906	0.01048	0.05941	0.47051	0.00822
228	0.14026	0.01883	0.01059	0.05920	0.47050	0.00815
229	0.14019	0.01843	0.01080	0.05911	0.47051	0.00810
230	0.14017	0.01812	0.01093	0.05927	0.47053	0.00814
