Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1342,-2.75799,-30.58764,1.39258,-7.66652,0.55944,0.40942,-36.75728,-33.9935,1.35891,-3.49383,-0.48282,0.37198,-12.76381,25.83706,-1.99917,-10.65856,4.72565,1.04536,1.15683,15.89531,-1.89723,18.75058,-18.50283,-0.76729,3.70153,-0.45067,-0.04431,4.58041,-5.88971,-0.3853,1.08762,-1.52327,-0.08308,2.16501,0.32892,0.00835,0.12256,-0.10432,0.00575,0.20768,-0.08061,0.03325
1343,-1.72573,-30.11948,1.36125,-7.43451,0.44413,0.46365,-36.33186,-32.80376,1.30337,-2.60497,-0.52622,0.64234,-12.88296,26.07209,-1.89231,-10.91012,4.94136,1.17051,1.38091,15.45309,-1.845,18.33123,-17.69496,-0.59784,5.17158,-0.06544,-0.15763,4.65916,-5.56164,-0.20812,0.93508,-1.43054,-0.04736,1.89766,0.32292,-0.18075,0.1109,-0.06044,-0.02669,0.16691,-0.05953,-0.03147
1344,-0.99673,-29.82696,1.48439,-7.27278,0.22925,0.46378,-37.84625,-32.0718,1.70823,-2.1055,-0.55356,0.63631,-12.86807,26.22576,-1.77418,-11.20666,5.16436,1.2758,-2.28812,13.72921,-2.07333,16.60644,-14.67156,0.3745,6.49298,0.14642,-0.30163,5.04455,-5.03367,0.19471,0.86024,-1.43095,-0.05623,1.69328,0.42201,-0.34106,0.12738,-0.057,-0.06262,0.14334,-0.01022,-0.08397
1345,-0.3678,-29.72528,1.66775,-7.35901,0.12334,0.47288,-39.73964,-31.66025,2.29362,-2.35229,-0.31094,0.6049,-12.78369,26.34982,-1.66362,-11.65757,5.44266,1.38306,-7.84105,11.69883,-2.3199,15.77819,-10.05756,1.23488,7.13972,0.03235,-0.40397,5.44926,-4.52104,0.5628,0.82359,-1.49308,-0.04482,1.61727,0.56868,-0.43971,0.14483,-0.0809,-0.07343,0.14181,0.04686,-0.11705
1346,0.43793,-29.77335,1.78362,-7.80294,0.26907,0.55131,-40.21964,-31.43749,2.65199,-3.31294,0.40234,0.92317,-12.70085,26.50309,-1.57538,-12.36665,5.82474,1.51137,-12.12434,10.49193,-1.85495,16.21136,-5.36748,1.14618,7.00881,-0.43902,-0.42162,5.51999,-4.17408,0.64688,0.78851,-1.60018,0.04635,1.69048,0.67487,-0.43775,0.14932,-0.12342,-0.04067,0.1609,0.08397,-0.12182
1347,1.47197,-29.96266,1.78045,-8.59954,0.63264,0.70907,-39.08248,-31.18259,2.5673,-4.88931,1.47028,1.62534,-12.64525,26.6854,-1.5144,-13.3697,6.33182,1.67277,-14.14467,10.80435,-0.62288,16.98982,-2.35429,0.05473,6.29208,-1.1764,-0.39945,5.22682,-4.03886,0.44988,0.76547,-1.73141,0.1866,1.9276,0.68186,-0.29626,0.14781,-0.17885,0.02207,0.2139,0.08199,-0.08609
1348,2.51686,-30.36973,1.7148,-9.65476,1.10063,0.92252,-37.66668,-30.91888,2.06242,-7.2253,2.69658,2.46801,-12.59424,26.83355,-1.47229,-14.62427,6.96115,1.87655,-15.82047,12.31752,0.75379,17.65081,-2.19111,-1.15801,5.26953,-1.91741,-0.40284,4.8747,-4.1351,0.23071,0.81425,-1.85224,0.26085,2.24154,0.57733,-0.0348,0.15483,-0.23317,0.07596,0.29123,0.03891,-0.01196
1349,3.40935,-31.02091,1.67474,-10.72638,1.59123,1.16141,-37.06141,-30.86859,1.34687,-10.13352,3.87248,3.18025,-12.50579,26.86638,-1.42405,-16.03619,7.69303,2.13485,-18.87025,13.76448,1.72477,18.47864,-4.90543,-1.27458,4.22965,-2.28178,-0.39556,4.77273,-4.4362,0.25318,0.96749,-1.92935,0.19374,2.43692,0.40218,0.24369,0.17048,-0.26222,0.09372,0.34612,-0.02609,0.07337
1350,4.19887,-31.83246,1.71501,-11.5369,2.11724,1.40315,-37.20359,-31.01294,0.81412,-12.71684,4.8067,3.56344,-12.35683,26.72233,-1.34337,-17.50018,8.48872,2.45703,-22.60193,14.10401,2.06615,19.35999,-9.42938,0.30548,3.45228,-2.02324,-0.24478,5.01275,-4.84659,0.5505,1.15499,-1.96571,0.04558,2.41478,0.23874,0.42747,0.18085,-0.25542,0.0813,0.34679,-0.08237,0.13573
1351,4.97828,-32.7429,1.85212,-11.91818,2.79383,1.64837,-37.50663,-31.0827,0.83851,-13.89677,5.58845,3.60026,-12.15383,26.38505,-1.22745,-18.91624,9.29888,2.848,-25.06834,13.5565,1.84446,19.53908,-13.99165,2.95743,3.19212,-1.27734,0.09746,5.42017,-5.1988,0.91398,1.27291,-2.02328,-0.06854,2.2413,0.16205,0.45853,0.1854,-0.23686,0.05682,0.30203,-0.10587,0.15266
1352,5.79186,-33.73163,2.05317,-11.95985,3.7107,1.91253,-37.51273,-30.70914,1.4307,-13.44835,6.42984,3.44041,-11.93337,25.91686,-1.09355,-20.21171,10.08046,3.28732,-25.41089,13.16712,1.20001,18.85213,-16.65122,5.0595,3.58153,-0.46898,0.4697,5.7127,-5.35081,1.03565,1.28028,-2.11405,-0.10415,2.06795,0.21738,0.3218,0.19807,-0.22831,0.02564,0.24579,-0.08916,0.11752
1353,6.64061,-34.77842,2.25579,-11.91187,4.78878,2.19466,-37.12309,-29.76354,2.20765,-11.91392,7.33064,3.28885,-11.74849,25.43969,-0.9576,-21.35776,10.79917,3.72418,-24.17488,13.5067,0.17588,18.4142,-16.20624,5.14404,4.44934,0.00425,0.63352,5.7236,-5.30681,0.71419,1.21445,-2.14249,-0.09035,2.05577,0.40215,0.06282,0.22014,-0.21769,-0.00739,0.22119,-0.04378,0.04668
1354,7.46219,-35.90444,2.43328,-12.01389,5.83036,2.47276,-36.51696,-28.74344,2.75107,-9.81924,8.16523,3.34433,-11.64106,25.04331,-0.82314,-22.36876,11.43782,4.10451,-21.85712,14.2389,-1.08019,20.20141,-13.17187,3.12332,5.3716,-0.01062,0.49527,5.47411,-5.16664,0.05243,1.15991,-2.05753,-0.07746,2.24711,0.64315,-0.19328,0.24109,-0.19358,-0.03001,0.24423,0.00807,-0.02301
1355,8.13321,-37.10802,2.61425,-12.38345,6.66106,2.72129,-35.97305,-28.39718,2.96011,-7.52041,8.84481,3.71668,-11.62711,24.72894,-0.68939,-23.29569,12.0051,4.40045,-18.54866,14.72288,-2.13952,24.70896,-9.83182,0.49525,5.9528,-0.35652,0.16964,5.12408,-5.02101,-0.51393,1.1689,-1.91961,-0.10722,2.45285,0.80542,-0.30101,0.25187,-0.16575,-0.03961,0.26835,0.04469,-0.05654
1356,8.51506,-38.26377,2.85465,-13.03289,7.23725,2.93553,-35.93081,-28.94879,3.09144,-5.79092,9.39289,4.34311,-11.69509,24.43527,-0.55332,-24.21533,12.54665,4.62477,-15.39486,14.82474,-2.40223,30.32525,-8.97865,-0.83659,6.11305,-0.70775,-0.08346,4.94217,-4.90248,-0.51525,1.2078,-1.84768,-0.15175,2.46441,0.78233,-0.19577,0.25003,-0.15386,-0.03728,0.24619,0.05524,-0.04456
1357,8.46163,-39.21568,3.20263,-13.93519,7.64716,3.12193,-37.10457,-29.96393,3.4531,-5.82558,10.01152,5.01453,-11.81689,24.09472,-0.41586,-25.22375,13.14025,4.81109,-15.25297,15.00033,-1.66391,34.46928,-12.00845,-0.049,6.03132,-0.85651,-0.04533,5.17889,-4.81872,0.15315,1.20377,-1.91766,-0.11785,2.31589,0.58994,0.0628,0.24011,-0.1699,-0.01339,0.20178,0.04421,-0.00422
1358,7.91227,-39.96127,3.65035,-15.02559,8.00884,3.28199,-39.93829,-30.93483,4.0197,-8.2379,10.89705,5.50997,-11.96672,23.66993,-0.28942,-26.42008,13.86824,4.99405,-20.35123,15.6449,-0.52729,35.75722,-17.64305,1.97688,5.8979,-0.8894,0.23635,5.80117,-4.79889,1.12362,1.12823,-2.0983,0.0262,2.18796,0.35293,0.33733,0.22843,-0.20536,0.03219,0.18825,0.0242,0.0399
1359,7.06222,-40.68522,4.1143,-16.18128,8.41994,3.40797,-43.6627,-31.93304,4.43056,-12.22548,11.95467,5.68895,-12.13181,23.17426,-0.19005,-27.86639,14.79117,5.19433,-29.36674,16.0734,0.08766,34.97843,-22.73771,3.38749,5.81173,-1.04843,0.45965,6.44139,-4.89501,1.79287,1.03957,-2.30227,0.16446,2.19638,0.21526,0.49185,0.22527,-0.24428,0.06761,0.22092,0.00688,0.069
1360,6.31348,-41.58996,4.4886,-17.26041,8.9215,3.48225,-46.70095,-33.40302,4.41891,-16.10568,12.90131,5.49002,-12.29562,22.6477,-0.12757,-29.54643,15.90959,5.41158,-38.39909,15.00349,-0.25438,34.35444,-24.42876,2.76811,5.84257,-1.44532,0.35921,6.68019,-5.12853,1.69559,1.04812,-2.47883,0.13558,2.34833,0.26224,0.45413,0.24221,-0.28067,0.05655,0.27888,0.00052,0.07204
1361,5.96721,-42.7604,4.72219,-18.14988,9.53687,3.50047,-48.19403,-35.44559,4.02952,-18.48104,13.61182,4.99428,-12.43132,22.11946,-0.10018,-31.37086,17.17723,5.63882,-44.37655,12.12555,-1.42268,35.52902,-21.88812,0.16343,6.00959,-1.9418,-0.03814,6.3707,-5.4692,0.81287,1.21073,-2.6291,-0.09784,2.56753,0.47508,0.25708,0.27771,-0.31457,-0.00011,0.32922,0.00517,0.05308
1362,6.00385,-44.14409,4.83626,-18.83469,10.29612,3.5015,-48.49854,-37.61946,3.39554,-18.73178,14.00212,4.48224,-12.52476,21.6205,-0.09491,-33.22872,18.54575,5.87684,-46.07854,8.30938,-3.10292,38.21608,-16.66532,-3.02345,6.22424,-2.27733,-0.47869,5.7231,-5.8319,-0.40276,1.48598,-2.75979,-0.4408,2.74585,0.73615,0.02369,0.32052,-0.34224,-0.07379,0.34913,0.01172,0.03073
