	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
134	0.05717	0.02990	0.01237	0.06583	0.51819	0.00655
135	0.05730	0.02969	0.01233	0.06590	0.51802	0.00662
136	0.05744	0.02950	0.01252	0.06600	0.51775	0.00684
137	0.05760	0.02941	0.01288	0.06599	0.51750	0.00716
138	0.05778	0.02937	0.01327	0.06581	0.51734	0.00743
139	0.05791	0.02922	0.01360	0.06568	0.51718	0.00753
140	0.05797	0.02888	0.01398	0.06582	0.51701	0.00745
141	0.05801	0.02844	0.01445	0.06603	0.51691	0.00727
142	0.05810	0.02810	0.01495	0.06605	0.51695	0.00715
143	0.05828	0.02795	0.01538	0.06582	0.51704	0.00720
144	0.05850	0.02788	0.01576	0.06539	0.51711	0.00741
145	0.05867	0.02774	0.01616	0.06493	0.51726	0.00760
146	0.05876	0.02746	0.01661	0.06473	0.51748	0.00762
147	0.05887	0.02701	0.01706	0.06497	0.51767	0.00750
148	0.05910	0.02645	0.01752	0.06541	0.51779	0.00738
149	0.05948	0.02591	0.01806	0.06557	0.51793	0.00735
150	0.05993	0.02554	0.01866	0.06535	0.51813	0.00740
151	0.06032	0.02527	0.01922	0.06507	0.51819	0.00745
152	0.06065	0.02490	0.01975	0.06501	0.51796	0.00745
153	0.06098	0.02423	0.02036	0.06512	0.51766	0.00742
154	0.06132	0.02329	0.02116	0.06523	0.51762	0.00743
155	0.06161	0.02228	0.02203	0.06537	0.51787	0.00752
156	0.06181	0.02134	0.02271	0.06561	0.51813	0.00765
157	0.06202	0.02055	0.02297	0.06573	0.51825	0.00770
158	0.06236	0.01987	0.02288	0.06553	0.51825	0.00757
159	0.06287	0.01919	0.02269	0.06518	0.51822	0.00731
160	0.06345	0.01843	0.02266	0.06509	0.51808	0.00712
161	0.06398	0.01764	0.02279	0.06540	0.51778	0.00717
162	0.06435	0.01710	0.02286	0.06587	0.51743	0.00734
163	0.06452	0.01699	0.02271	0.06618	0.51722	0.00738
164	0.06446	0.01720	0.02235	0.06624	0.51721	0.00728
165	0.06422	0.01747	0.02191	0.06624	0.51733	0.00721
166	0.06386	0.01776	0.02145	0.06626	0.51749	0.00725
167	0.06344	0.01808	0.02091	0.06610	0.51771	0.00730
168	0.06302	0.01839	0.02025	0.06564	0.51794	0.00729
169	0.06263	0.01865	0.01962	0.06501	0.51804	0.00720
170	0.06228	0.01896	0.01908	0.06447	0.51797	0.00717
171	0.06189	0.01949	0.01850	0.06418	0.51778	0.00725
172	0.06139	0.02028	0.01768	0.06420	0.51756	0.00739
173	0.06074	0.02114	0.01665	0.06443	0.51734	0.00740
174	0.06005	0.02178	0.01558	0.06467	0.51722	0.00723
175	0.05943	0.02212	0.01462	0.06483	0.51731	0.00697
176	0.05892	0.02234	0.01380	0.06496	0.51758	0.00679
177	0.05850	0.02259	0.01312	0.06501	0.51791	0.00682
178	0.05816	0.02286	0.01258	0.06495	0.51818	0.00705
179	0.05792	0.02308	0.01209	0.06484	0.51826	0.00744
180	0.05775	0.02323	0.01165	0.06478	0.51814	0.00783
181	0.05761	0.02333	0.01129	0.06480	0.51795	0.00801
182	0.05750	0.02343	0.01099	0.06487	0.51784	0.00795
183	0.05747	0.02357	0.01066	0.06494	0.51785	0.00783
184	0.05753	0.02374	0.01032	0.06509	0.51785	0.00775
185	0.05764	0.02390	0.01012	0.06538	0.51771	0.00768
186	0.05766	0.02399	0.01010	0.06572	0.51747	0.00759
187	0.05757	0.02402	0.01020	0.06599	0.51731	0.00752
188	0.05745	0.02407	0.01032	0.06616	0.51727	0.00754
189	0.05736	0.02419	0.01040	0.06625	0.51730	0.00760
190	0.05731	0.02431	0.01038	0.06622	0.51739	0.00762
191	0.05728	0.02438	0.01024	0.06613	0.51756	0.00756
192	0.05725	0.02450	0.01002	0.06609	0.51773	0.00737
193	0.05725	0.02478	0.00983	0.06622	0.51778	0.00713
194	0.05722	0.02514	0.00979	0.06644	0.51767	0.00711
195	0.05714	0.02539	0.00986	0.06658	0.51746	0.00744
196	0.05706	0.02544	0.00994	0.06654	0.51719	0.00792
197	0.05704	0.02534	0.00991	0.06643	0.51694	0.00817
198	0.05711	0.02525	0.00974	0.06637	0.51678	0.00803
199	0.05723	0.02522	0.00949	0.06641	0.51674	0.00770
